DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,672562,10.78,150,12.62,155
Los Angeles,426136,6.83,108,7.2,143
San Fran-Oak-SJ,298718,4.79,102,4.59,98
Chicago,292669,4.69,157,6.16,197
Wash DC (Hag),267767,4.29,109,5.09,144
Boston (Manchr),240294,3.85,189,4.48,165
Philadelphia,204408,3.28,96,3.34,109
Seattle-Tacoma,201341,3.23,182,2.89,145
Mineapls-St. Pl,123402,1.98,164,2.32,158
Atlanta,118565,1.9,83,1.75,80
Dallas-Ft.Worth,111001,1.78,82,1.44,66
Denver,108197,1.73,145,1.74,127
Portland OR,107004,1.72,66,1.84,69
Detroit,89522,1.44,110,1.38,95
Houston,87036,1.4,74,1.25,66
Austin,84691,1.36,222,1.54,218
Phoenix,79773,1.28,79,1.03,69
Baltimore,70524,1.13,133,1.21,127
Raleigh-Dur(Fy),70518,1.13,93,1.25,105
San Diego,69035,1.11,127,0.91,98
Cleveland,64342,1.03,64,0.94,61
Pittsburgh,62367,1,110,1.06,113
St. Louis,59921,0.96,134,1.01,111
Sacrmnto-Stk-Mo,58693,0.94,94,0.78,75
Columbus OH,58614,0.94,50,0.91,83
Hartfrd&Nw Havn,57826,0.93,138,0.97,117
Tampa-St P(Sar),56212,0.9,60,0.67,46
Orl-Dytn B-Mlbn,54707,0.88,73,0.64,52
Miami-Ft. Laude,51229,0.82,64,0.59,47
Milwaukee,50406,0.81,108,0.95,121
Salt Lake City,49721,0.8,122,0.6,66
Indianapolis,48977,0.79,118,0.76,104
Kansas City,47884,0.77,28,0.8,77
Madison,44072,0.71,300,1,314
Nashville,43510,0.7,105,0.63,86
Cincinnati,40420,0.65,75,0.54,68
Charlotte,38684,0.62,63,0.47,49
Gr.Rapids-Kl-Bc,36361,0.58,132,0.53,101
Providnc-N. Bed,34437,0.55,130,0.54,108
Richmond-Ptrsbg,30899,0.5,113,0.46,100
Albany-Sch-Troy,30799,0.49,100,0.52,103
Harrsbg-La-Lb-Y,30370,0.49,70,0.44,59
Grvl-Spa-Ash-An,26962,0.43,109,0.39,79
Nrflk-Prt-Np Nw,26911,0.43,76,0.4,73
Las Vegas,26079,0.42,60,0.3,39
Buffalo,25878,0.41,28,0.33,56
Syracuse,25628,0.41,121,0.4,104
Louisville,25552,0.41,69,0.39,76
Burlngtn-Pltbrg,25109,0.4,177,0.4,141
New Orleans,25014,0.4,103,0.41,101
Albuq-Santa Fe,24574,0.39,114,0.36,93
San Antonio,24495,0.39,62,0.3,50
Rochester NY,23770,0.38,92,0.38,95
Portland-Auburn,23759,0.38,115,0.4,107
Oklahoma City,23566,0.38,87,0.34,76
Greensbro-HP-WS,22262,0.36,74,0.29,59
Des Moines-Ames,22052,0.35,124,0.4,120
Champgn&Spr-Dec,21275,0.34,139,0.38,143
Cdr Rp-Wa-Ic&Db,20658,0.33,160,0.41,162
Tucson (S Vsta),20433,0.33,129,0.28,91
Springfld-Hlyok,20319,0.33,174,0.32,129
West Plm Bch-FP,20074,0.32,63,0.2,37
Birmingham,20004,0.32,78,0.26,59
Omaha,19884,0.32,103,0.29,84
Jacksonville,19561,0.31,64,0.25,48
Roanoke-Lnchbrg,18468,0.3,115,0.25,91
Lexington,17955,0.29,66,0.27,71
Wilkes Bar-Scr,17833,0.29,57,0.24,48
Memphis,17289,0.28,71,0.25,63
Honolulu,16675,0.27,68,0.2,52
Eugene,16545,0.27,207,0.21,111
Dayton,16531,0.26,65,0.23,60
Spokane,16281,0.26,96,0.24,81
Santabar-Sm-Slo,16143,0.26,186,0.22,130
Knoxville,15827,0.25,94,0.23,73
Green Bay-Apltn,15632,0.25,83,0.22,70
Lansing,15162,0.24,129,0.19,93
Litl Rck-Pn Blf,14765,0.24,64,0.23,65
Johnstown-Altna,14702,0.24,117,0.2,84
Tulsa,14349,0.23,66,0.22,64
Mobile-Pns(Fwb),13773,0.22,60,0.14,42
Toledo,13569,0.22,57,0.2,57
Colo Sprngs-Pbl,13159,0.21,98,0.15,56
Waco-Templ-Bryn,12993,0.21,64,0.15,54
Monterey-Salnas,12991,0.21,184,0.19,137
Flint-Sagnaw-BC,12915,0.21,85,0.15,53
Fresno-Visalia,12817,0.21,66,0.13,44
Columbia SC,12241,0.2,62,0.17,55
Tallhsee-Thmsvl,12064,0.19,101,0.21,110
Charleston SC,11993,0.19,82,0.17,78
Lin&Hst-Krny,11659,0.19,80,0.16,69
So. Bend-Elkhrt,11613,0.19,86,0.18,77
Gainesville,11322,0.18,152,0.15,125
Springfield MO,11233,0.18,68,0.13,51
Wichta-Htch Pls,11173,0.18,72,0.13,46
Peoria-Blmingtn,11026,0.18,88,0.16,81
Ft. Myers-Napls,10983,0.18,44,0.11,27
Boise,10961,0.18,95,0.13,60
Charlottesville,10839,0.17,169,0.19,170
Baton Rouge,10507,0.17,77,0.15,71
La Crss-Eau Clr,10499,0.17,111,0.14,78
Reno,10439,0.17,120,0.14,76
Chattanooga,10263,0.16,82,0.12,59
Fargo-Vally Cty,9765,0.16,113,0.13,72
Columbia-Jf Cty,9727,0.16,133,0.18,144
Davnprt-Ri-Mlne,9687,0.16,77,0.14,67
Charlstn-Huntng,9336,0.15,43,0.12,42
Ft Smh-Fy-Sp-Rg,9274,0.15,83,0.11,60
Savannah,9045,0.15,65,0.1,43
Hntvle-Dctr(FL),8689,0.14,71,0.12,51
Pdch-Cg-Har-Mtv,8608,0.14,70,0.12,62
Anchorage,8336,0.13,127,0.13,95
Sioux Fls(Mchl),8113,0.13,75,0.1,53
Bangor,7317,0.12,135,0.08,79
Yakm-Psc-Rch-Kn,7097,0.11,110,0.09,72
El Paso,6896,0.11,57,0.09,53
