DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,503461,10.26,142,11.71,144
Los Angeles,292524,5.96,93,5.91,118
Chicago,239375,4.88,163,5.97,190
San Fran-Oak-SJ,213740,4.36,93,4.25,91
Wash DC (Hag),207960,4.24,108,4.95,139
Boston (Manchr),205075,4.18,205,4.87,179
Philadelphia,156815,3.2,93,3.5,113
Seattle-Tacoma,134793,2.75,155,2.86,143
Mineapls-St. Pl,109844,2.24,185,2.27,154
Denver,93315,1.9,158,1.71,124
Atlanta,88280,1.8,79,1.77,80
Dallas-Ft.Worth,84202,1.72,79,1.47,68
Portland OR,80963,1.65,64,1.67,63
Detroit,73663,1.5,116,1.41,96
Austin,65899,1.34,219,1.42,201
Phoenix,63067,1.29,80,1.12,74
Houston,61783,1.26,66,1.08,57
Cleveland,57663,1.18,73,1.07,69
Raleigh-Dur(Fy),57479,1.17,96,1.23,102
Baltimore,53149,1.08,126,1.08,112
Pittsburgh,52152,1.06,116,1.18,124
Columbus OH,50967,1.04,55,1.05,95
Salt Lake City,50736,1.03,158,0.9,97
San Diego,50169,1.02,116,0.86,92
Hartfrd&Nw Havn,49512,1.01,151,1.18,142
St. Louis,46641,0.95,132,0.92,100
Orl-Dytn B-Mlbn,44349,0.9,76,0.74,59
Tampa-St P(Sar),43927,0.9,60,0.76,52
Sacrmnto-Stk-Mo,42866,0.87,87,0.71,67
Milwaukee,41674,0.85,113,0.79,102
Indianapolis,41166,0.84,125,0.79,108
Kansas City,40570,0.83,30,0.74,70
Miami-Ft. Laude,35733,0.73,56,0.57,46
Madison,35297,0.72,305,0.83,262
Cincinnati,34520,0.7,82,0.64,80
Nashville,33838,0.69,103,0.66,89
Gr.Rapids-Kl-Bc,29250,0.6,135,0.52,99
Providnc-N. Bed,28264,0.58,135,0.64,127
Charlotte,28143,0.57,59,0.48,50
Burlngtn-Pltbrg,25077,0.51,225,0.57,200
Richmond-Ptrsbg,24527,0.5,114,0.48,104
Albany-Sch-Troy,24144,0.49,99,0.47,94
Harrsbg-La-Lb-Y,24105,0.49,70,0.45,59
Syracuse,23076,0.47,138,0.5,130
Grvl-Spa-Ash-An,22501,0.46,116,0.4,80
Rochester NY,21820,0.44,107,0.46,114
Portland-Auburn,21241,0.43,130,0.49,130
Nrflk-Prt-Np Nw,21053,0.43,75,0.37,67
Champgn&Spr-Dec,21021,0.43,174,0.45,165
Buffalo,20780,0.42,28,0.37,61
New Orleans,20205,0.41,106,0.41,101
Springfld-Hlyok,19918,0.41,216,0.51,206
Oklahoma City,19733,0.4,93,0.39,86
Des Moines-Ames,18626,0.38,132,0.43,128
Albuq-Santa Fe,18477,0.38,108,0.38,99
San Antonio,18431,0.38,59,0.32,52
Las Vegas,17881,0.36,52,0.28,35
Louisville,17760,0.36,61,0.3,59
Tucson (S Vsta),17192,0.35,137,0.31,99
Cdr Rp-Wa-Ic&Db,17129,0.35,168,0.33,133
Greensbro-HP-WS,16909,0.34,70,0.33,65
Roanoke-Lnchbrg,16483,0.34,130,0.3,109
Birmingham,15922,0.32,79,0.26,57
Omaha,15787,0.32,103,0.28,82
Eugene,15681,0.32,248,0.33,177
Santabar-Sm-Slo,15266,0.31,223,0.29,168
Spokane,15124,0.31,113,0.3,99
Jacksonville,14918,0.3,61,0.24,45
Lansing,14588,0.3,157,0.3,142
Dayton,14559,0.3,72,0.23,58
