DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,881462,10.26,143,15.58,192
Los Angeles,428452,4.99,79,5.11,102
Chicago,391361,4.56,154,4.43,142
San Fran-Oak-SJ,373757,4.35,94,3.67,79
Philadelphia,362310,4.22,124,4.06,132
Wash DC (Hag),316940,3.69,95,3.52,99
Boston (Manchr),303625,3.54,173,3.75,138
Seattle-Tacoma,224653,2.62,147,1.76,89
Dallas-Ft.Worth,220705,2.57,120,2.93,135
Atlanta,205119,2.39,106,2.48,113
Houston,200629,2.34,124,2.53,134
Denver,184110,2.14,180,1.83,135
Detroit,158909,1.85,143,1.65,113
Mineapls-St. Pl,155869,1.82,151,1.71,116
Tampa-St P(Sar),141440,1.65,111,1.61,111
Phoenix,139673,1.63,101,1.66,111
Miami-Ft. Laude,117904,1.37,107,1.64,130
Portland OR,111441,1.3,51,0.82,31
Sacrmnto-Stk-Mo,109117,1.27,127,0.99,94
Baltimore,101983,1.19,139,0.99,104
Orl-Dytn B-Mlbn,97930,1.14,96,1.22,99
Pittsburgh,94050,1.1,121,0.87,93
San Diego,92628,1.08,124,0.98,105
Hartfrd&Nw Havn,89573,1.04,157,1.07,129
Cleveland,81231,0.95,59,0.93,60
Raleigh-Dur(Fy),79279,0.92,76,1.03,86
West Plm Bch-FP,74440,0.87,171,1.08,198
Charlotte,74237,0.86,89,1.14,119
St. Louis,72234,0.84,117,0.91,100
Harrsbg-La-Lb-Y,71515,0.83,120,0.61,81
Austin,69541,0.81,133,0.88,126
Indianapolis,67935,0.79,118,0.65,91
Nashville,67066,0.78,118,0.58,79
Salt Lake City,64251,0.75,115,0.6,65
Columbus OH,57401,0.67,36,0.72,66
Kansas City,57268,0.67,24,0.65,63
Ft. Myers-Napls,55691,0.65,165,0.65,157
Cincinnati,52981,0.62,71,0.68,86
Jacksonville,50475,0.59,120,0.55,107
Milwaukee,50400,0.59,78,0.63,82
Richmond-Ptrsbg,48352,0.56,130,0.54,117
Gr.Rapids-Kl-Bc,44167,0.51,117,0.41,79
Las Vegas,43578,0.51,73,0.51,66
Providnc-N. Bed,41005,0.48,113,0.46,92
Albuq-Santa Fe,35934,0.42,122,0.34,88
Nrflk-Prt-Np Nw,35163,0.41,72,0.49,90
San Antonio,35151,0.41,65,0.34,57
Albany-Sch-Troy,34568,0.4,82,0.43,86
Grvl-Spa-Ash-An,33319,0.39,99,0.37,75
Tucson (S Vsta),32864,0.38,151,0.3,96
Oklahoma City,31732,0.37,86,0.36,81
Louisville,29669,0.35,58,0.32,64
Greensbro-HP-WS,29644,0.35,71,0.39,79
Honolulu,28258,0.33,84,0.31,79
Memphis,28139,0.33,85,0.29,75
Birmingham,27657,0.32,80,0.35,77
Knoxville,27256,0.32,120,0.23,75
Buffalo,27048,0.31,22,0.3,51
Wilkes Bar-Scr,26903,0.31,62,0.27,55
Omaha,26590,0.31,101,0.37,111
Rochester NY,24817,0.29,70,0.34,85
Spokane,24519,0.29,106,0.17,59
New Orleans,23802,0.28,72,0.26,66
Tulsa,23277,0.27,79,0.33,96
Madison,23155,0.27,115,0.25,78
Burlngtn-Pltbrg,22534,0.26,116,0.19,66
Colo Sprngs-Pbl,22524,0.26,122,0.2,77
Des Moines-Ames,22290,0.26,91,0.25,75
Peoria-Blmingtn,22275,0.26,130,0.19,94
Springfld-Hlyok,21853,0.25,137,0.19,77
Champgn&Spr-Dec,21631,0.25,104,0.17,62
Portland-Auburn,21237,0.25,75,0.26,70
Mobile-Pns(Fwb),21184,0.25,67,0.21,62
Fresno-Visalia,20386,0.24,78,0.14,45
Flint-Sagnaw-BC,20256,0.24,98,0.19,67
Roanoke-Lnchbrg,20241,0.24,92,0.19,67
Syracuse,19997,0.23,69,0.2,52
So. Bend-Elkhrt,19385,0.23,106,0.15,65
Litl Rck-Pn Blf,18641,0.22,59,0.22,63
Dayton,18332,0.21,52,0.18,46
Wichta-Htch Pls,18005,0.21,86,0.19,68
Green Bay-Apltn,17907,0.21,69,0.16,52
Charleston SC,17829,0.21,90,0.21,97
Lansing,17605,0.21,109,0.16,76
Cdr Rp-Wa-Ic&Db,17084,0.2,97,0.22,87
Savannah,16962,0.2,91,0.19,87
Chattanooga,16741,0.19,98,0.15,74
Lexington,16513,0.19,44,0.18,46
Toledo,16508,0.19,50,0.18,52
Santabar-Sm-Slo,15997,0.19,135,0.16,94
Hntvle-Dctr(FL),15984,0.19,96,0.16,71
Boise,15766,0.18,100,0.14,64
Columbia SC,15752,0.18,59,0.19,63
Eugene,15386,0.18,140,0.1,53
Johnstown-Altna,15310,0.18,90,0.15,65
Reno,15220,0.18,129,0.16,91
Augusta,14246,0.17,105,0.12,74
Tallhsee-Thmsvl,14089,0.16,87,0.13,69
Jackson MS,13968,0.16,82,0.13,71
Monterey-Salnas,13855,0.16,143,0.11,81
Waco-Templ-Bryn,13848,0.16,50,0.11,40
Springfield MO,13744,0.16,61,0.16,60
Davnprt-Ri-Mlne,12914,0.15,75,0.13,61
