DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,585682,20.05,278,28.4,349
Chicago,249690,8.55,287,10.41,333
Los Angeles,158326,5.42,85,4.43,88
Detroit,123907,4.24,327,5.89,403
Wash DC (Hag),120965,4.14,105,3.73,105
Boston (Manchr),118250,4.05,199,4.37,160
Atlanta,116856,4,176,6.26,284
San Fran-Oak-SJ,90478,3.1,66,2.37,51
Philadelphia,87118,2.98,87,3.1,101
Seattle-Tacoma,80036,2.74,154,2.22,111
Columbus OH,63372,2.17,116,0.82,74
Miami-Ft. Laude,60484,2.07,161,2.59,204
Dallas-Ft.Worth,47706,1.63,75,1.3,60
Houston,34466,1.18,62,0.84,45
Denver,34033,1.16,97,0.85,61
Phoenix,28353,0.97,60,0.64,43
Tampa-St P(Sar),26145,0.89,60,0.63,43
Mineapls-St. Pl,25728,0.88,73,0.64,44
Cleveland,23841,0.82,50,0.53,34
Hartfrd&Nw Havn,22023,0.75,112,0.56,67
Sacrmnto-Stk-Mo,21305,0.73,73,0.47,45
Orl-Dytn B-Mlbn,21260,0.73,61,0.48,39
New Orleans,20805,0.71,184,0.81,201
St. Louis,20773,0.71,98,0.45,48
Portland OR,20659,0.71,28,0.49,19
San Diego,20347,0.7,80,0.49,52
Baltimore,19126,0.65,76,0.55,57
Raleigh-Dur(Fy),17044,0.58,47,0.4,33
Austin,16732,0.57,92,0.41,58
Milwaukee,15764,0.54,72,0.37,47
Indianapolis,15690,0.54,79,0.36,50
West Plm Bch-FP,15374,0.53,102,0.44,80
Salt Lake City,15111,0.52,78,0.3,33
Charlotte,14418,0.49,50,0.35,37
Gr.Rapids-Kl-Bc,14369,0.49,111,0.4,76
Pittsburgh,14075,0.48,52,0.33,35
Kansas City,13870,0.47,17,0.33,32
Nashville,13633,0.47,70,0.31,42
Providnc-N. Bed,11665,0.4,94,0.27,54
Las Vegas,11539,0.39,56,0.25,32
Cincinnati,11083,0.38,44,0.27,33
Albany-Sch-Troy,10477,0.36,72,0.28,55
Grvl-Spa-Ash-An,8974,0.31,77,0.22,43
San Antonio,8752,0.3,47,0.17,27
Flint-Sagnaw-BC,8276,0.28,116,0.23,79
Jacksonville,8238,0.28,56,0.19,36
Harrsbg-La-Lb-Y,8206,0.28,40,0.18,24
Lansing,7854,0.27,142,0.26,125
Buffalo,7522,0.26,17,0.19,31
Ft. Myers-Napls,7336,0.25,62,0.17,41
Madison,7217,0.25,103,0.16,51
Albuq-Santa Fe,7109,0.24,70,0.16,40
Oklahoma City,7015,0.24,55,0.18,40
Syracuse,6966,0.24,69,0.18,46
Louisville,6950,0.24,40,0.17,32
Nrflk-Prt-Np Nw,6932,0.24,41,0.16,29
Portland-Auburn,6826,0.23,70,0.15,39
Champgn&Spr-Dec,6773,0.23,93,0.18,65
Richmond-Ptrsbg,6723,0.23,52,0.17,37
Birmingham,6611,0.23,55,0.16,34
Rochester NY,6447,0.22,52,0.16,40
Burlngtn-Pltbrg,6440,0.22,96,0.14,48
Memphis,6422,0.22,56,0.15,38
Greensbro-HP-WS,6420,0.22,45,0.17,33
Des Moines-Ames,5700,0.2,67,0.12,34
Omaha,5671,0.19,62,0.13,37
Reno,5579,0.19,136,0.11,59
Wilkes Bar-Scr,5361,0.18,36,0.12,23
Litl Rck-Pn Blf,5321,0.18,48,0.12,34
Dayton,5303,0.18,43,0.12,31
Green Bay-Apltn,5271,0.18,59,0.1,32
Toledo,5267,0.18,46,0.12,34
Tucson (S Vsta),5215,0.18,69,0.12,37
Spokane,5197,0.18,65,0.11,35
So. Bend-Elkhrt,5181,0.18,81,0.12,49
Knoxville,5105,0.17,64,0.1,32
Peoria-Blmingtn,5009,0.17,84,0.11,53
Fresno-Visalia,4991,0.17,55,0.1,32
Mobile-Pns(Fwb),4919,0.17,44,0.1,28
Tulsa,4894,0.17,47,0.1,28
Davnprt-Ri-Mlne,4726,0.16,79,0.09,43
Springfld-Hlyok,4724,0.16,85,0.11,45
Wichta-Htch Pls,4531,0.16,62,0.09,32
Honolulu,4457,0.15,38,0.11,27
Cdr Rp-Wa-Ic&Db,4347,0.15,70,0.1,38
Travrs Cty-Cdlc,4042,0.14,110,0.1,78
Santabar-Sm-Slo,4037,0.14,98,0.1,55
Savannah,4019,0.14,62,0.09,42
Springfield MO,3918,0.13,50,0.07,26
Columbia SC,3905,0.13,41,0.1,32
Palm Springs,3866,0.13,103,0.16,142
Lexington,3855,0.13,30,0.09,22
Colo Sprngs-Pbl,3808,0.13,60,0.07,25
Charleston SC,3774,0.13,54,0.09,38
Roanoke-Lnchbrg,3730,0.13,48,0.08,29
Baton Rouge,3658,0.13,57,0.1,45
Rockford,3516,0.12,94,0.06,50
Waco-Templ-Bryn,3400,0.12,35,0.07,23
Boise,3328,0.11,61,0.06,25
Jackson MS,3265,0.11,55,0.1,56
Monterey-Salnas,3236,0.11,96,0.07,49
Chattanooga,3191,0.11,54,0.07,33
Hntvle-Dctr(FL),3029,0.1,52,0.06,27
Johnstown-Altna,2958,0.1,50,0.06,23
Pdch-Cg-Har-Mtv,2888,0.1,49,0.05,27
Lin&Hst-Krny,2812,0.1,40,0.06,23
Ft Smh-Fy-Sp-Rg,2756,0.09,51,0.07,37
Eugene,2711,0.09,70,0.06,33
Ft. Wayne,2677,0.09,52,0.05,29
Yakm-Psc-Rch-Kn,2664,0.09,87,0.05,43
Tallhsee-Thmsvl,2659,0.09,47,0.06,31
Augusta,2596,0.09,54,0.07,45
La Crss-Eau Clr,2424,0.08,53,0.05,28
Flrnce-Mrtl Bch,2390,0.08,39,0.04,22
Charlstn-Huntng,2374,0.08,23,0.05,15
Youngstown,2284,0.08,48,0.06,36
Lafayette LA,2275,0.08,54,0.05,34
Shreveport,2190,0.07,34,0.05,25
Fargo-Vally Cty,2177,0.07,52,0.04,21
Evansville,2177,0.07,42,0.04,25
Anchorage,2170,0.07,69,0.04,31
Chico-Redding,2157,0.07,78,0.04,34
Gainesville,2082,0.07,58,0.05,40
El Paso,2076,0.07,36,0.05,28
Wilmington,2069,0.07,48,0.05,34
Topeka,2042,0.07,56,0.04,31
Macon,2035,0.07,33,0.06,36
Charlottesville,2017,0.07,65,0.06,47
Sioux Fls(Mchl),1999,0.07,38,0.03,17
Bakersfield,1997,0.07,55,0.04,32
Wausau-Rhineldr,1957,0.07,71,0.04,31
Greenvl-NB-Wash,1925,0.07,29,0.04,21
Tyler-Longview,1856,0.06,36,0.03,21
Binghamton,1746,0.06,44,0.05,37
Columbus GA,1730,0.06,55,0.05,39
Missoula,1699,0.06,93,0.03,36
Tri-Cties TN-VA,1694,0.06,39,0.03,19
Columbia-Jf Cty,1692,0.06,48,0.03,25
Rch-Masn Cy-Aus,1647,0.06,70,0.03,29
Hrlg-Wsl-Brn-Ma,1600,0.05,27,0.03,18
Amarillo,1521,0.05,37,0.03,24
Medford-Klm Fls,1497,0.05,66,0.03,31
Lubbock,1490,0.05,48,0.03,32
Bangor,1472,0.05,56,0.02,23
Corpus Christi,1385,0.05,36,0.02,20
Sioux City,1355,0.05,56,0.03,33
Marquette,1322,0.05,114,0.03,55
Duluth-Superior,1319,0.05,57,0.02,26
Montgomery(Sel),1315,0.05,36,0.03,26
Salisbury,1281,0.04,43,0.03,28
Minot-Bsmrk-Dkn,1281,0.04,34,0.02,17
Idaho Falls-Poc,1279,0.04,72,0.02,33
Panama City,1261,0.04,43,0.03,26
Odessa-Midland,1232,0.04,40,0.03,29
Utica,1185,0.04,48,0.03,30
Lafayette IN,1167,0.04,75,0.02,29
Erie,1158,0.04,26,0.03,19
Billings,1104,0.04,69,0.03,46
Beaumnt-Prt Art,1061,0.04,28,0.02,19
Biloxi-Gulfport,1050,0.04,37,0.03,32
Terre Haute,1050,0.04,55,0.02,30
Wichta Fls&Lwtn,1048,0.04,40,0.02,27
Butte-Bozeman,1041,0.04,113,0.02,51
Joplin-Pittsbrg,1028,0.04,49,0.02,24
Monro-El Dorado,985,0.03,32,0.02,20
Albany GA,978,0.03,22,0.03,23
Bend OR,972,0.03,161,0.02,65
Blfld-Beckly-OH,934,0.03,33,0.02,22
Columbus-Tup-Wp,918,0.03,40,0.02,28
Wheeling-Steub.,886,0.03,39,0.03,47
