DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1558179,9.65,134,12.37,152
Los Angeles,878083,5.44,86,5.26,105
Boston (Manchr),795742,4.93,242,4.69,173
Chicago,760416,4.71,158,6.9,221
Wash DC (Hag),696594,4.32,111,5.69,161
San Fran-Oak-SJ,677493,4.2,90,4.07,87
Seattle-Tacoma,624802,3.87,218,2.95,149
Philadelphia,519614,3.22,95,3.69,120
Dallas-Ft.Worth,348060,2.16,100,2.15,99
Atlanta,320899,1.99,88,1.98,90
Mineapls-St. Pl,294400,1.82,151,2.14,145
Houston,281736,1.75,93,1.8,95
Denver,280784,1.74,145,1.92,141
Detroit,244168,1.51,116,1.51,103
Phoenix,223001,1.38,86,1.12,75
Portland OR,212936,1.32,52,1.29,49
Cleveland,196707,1.22,75,1.08,70
Baltimore,196207,1.22,143,1.31,137
Raleigh-Dur(Fy),180122,1.12,92,1.2,100
San Diego,177769,1.1,126,0.98,106
Pittsburgh,176454,1.09,120,1.31,139
Austin,169628,1.05,172,1.18,168
Tampa-St P(Sar),163156,1.01,68,0.81,56
Columbus OH,160894,1,54,1.06,96
Hartfrd&Nw Havn,156369,0.97,145,0.95,115
St. Louis,154705,0.96,134,1.09,120
Indianapolis,154663,0.96,144,0.91,126
Miami-Ft. Laude,151927,0.94,73,0.83,65
Sacrmnto-Stk-Mo,150361,0.93,93,0.71,68
Milwaukee,144689,0.9,120,1.06,138
Orl-Dytn B-Mlbn,141066,0.87,73,0.62,50
Kansas City,136865,0.85,31,0.98,95
Charlotte,128184,0.79,81,0.75,79
Nashville,117060,0.73,110,0.65,89
Cincinnati,116585,0.72,84,0.74,93
Providnc-N. Bed,112927,0.7,167,0.49,98
Salt Lake City,102514,0.64,97,0.47,51
Madison,91052,0.56,241,0.69,216
Buffalo,86519,0.54,37,0.49,82
Gr.Rapids-Kl-Bc,83514,0.52,118,0.4,76
Harrsbg-La-Lb-Y,82335,0.51,73,0.44,59
Richmond-Ptrsbg,76600,0.47,109,0.45,99
Las Vegas,76220,0.47,67,0.34,44
Albany-Sch-Troy,71922,0.45,91,0.4,82
New Orleans,71090,0.44,115,0.45,114
Portland-Auburn,68069,0.42,129,0.32,88
San Antonio,66298,0.41,65,0.31,52
Louisville,64911,0.4,68,0.34,68
Nrflk-Prt-Np Nw,64417,0.4,70,0.32,59
Grvl-Spa-Ash-An,63965,0.4,101,0.32,67
Oklahoma City,62913,0.39,91,0.33,75
Omaha,62477,0.39,126,0.39,117
West Plm Bch-FP,62172,0.39,75,0.29,53
Rochester NY,59238,0.37,89,0.35,87
Burlngtn-Pltbrg,57994,0.36,159,0.3,105
Birmingham,57350,0.36,88,0.3,67
Greensbro-HP-WS,57220,0.35,73,0.3,60
Jacksonville,56593,0.35,71,0.29,57
Syracuse,54550,0.34,100,0.31,81
Des Moines-Ames,54368,0.34,118,0.32,97
Honolulu,52097,0.32,82,0.21,53
Champgn&Spr-Dec,49946,0.31,127,0.32,120
Spokane,49683,0.31,113,0.21,73
Memphis,49163,0.3,79,0.28,73
Albuq-Santa Fe,48240,0.3,87,0.22,58
Cdr Rp-Wa-Ic&Db,48205,0.3,145,0.28,111
Dayton,47776,0.3,73,0.24,63
Springfld-Hlyok,47376,0.29,158,0.22,89
Tucson (S Vsta),46791,0.29,114,0.21,67
Green Bay-Apltn,45502,0.28,94,0.23,77
Wilkes Bar-Scr,45274,0.28,56,0.21,42
Lexington,45209,0.28,65,0.26,69
Roanoke-Lnchbrg,43140,0.27,104,0.22,81
Johnstown-Altna,40118,0.25,124,0.19,80
Tulsa,37818,0.23,68,0.2,59
Knoxville,37782,0.23,88,0.19,60
Ft. Myers-Napls,37620,0.23,59,0.14,34
Toledo,37496,0.23,61,0.18,53
Litl Rck-Pn Blf,35342,0.22,60,0.17,47
Columbia SC,35137,0.22,70,0.21,70
Lansing,34907,0.22,115,0.19,90
Santabar-Sm-Slo,34712,0.22,155,0.17,96
Lin&Hst-Krny,34527,0.21,93,0.18,75
Mobile-Pns(Fwb),34059,0.21,57,0.12,35
So. Bend-Elkhrt,33662,0.21,97,0.19,82
Charleston SC,33185,0.21,89,0.17,78
Waco-Templ-Bryn,32853,0.2,63,0.13,48
Colo Sprngs-Pbl,32671,0.2,94,0.14,53
Flint-Sagnaw-BC,32551,0.2,84,0.14,49
Fresno-Visalia,32103,0.2,65,0.11,35
Wichta-Htch Pls,31957,0.2,81,0.15,55
Eugene,31625,0.2,153,0.15,80
Baton Rouge,30735,0.19,87,0.14,65
Peoria-Blmingtn,30264,0.19,93,0.17,83
Boise,29767,0.18,101,0.13,61
Davnprt-Ri-Mlne,29383,0.18,90,0.17,82
Fargo-Vally Cty,29348,0.18,133,0.16,90
Tallhsee-Thmsvl,28373,0.18,93,0.15,79
La Crss-Eau Clr,28230,0.17,117,0.12,67
Yakm-Psc-Rch-Kn,27694,0.17,168,0.09,72
Sioux Fls(Mchl),27457,0.17,98,0.15,75
Monterey-Salnas,26521,0.16,145,0.11,80
Hntvle-Dctr(FL),26414,0.16,83,0.12,52
Reno,26378,0.16,118,0.14,76
Springfield MO,25088,0.16,59,0.1,40
Charlottesville,24575,0.15,149,0.2,176
Jackson MS,23071,0.14,72,0.11,58
Ft Smh-Fy-Sp-Rg,23025,0.14,80,0.11,61
Savannah,22704,0.14,64,0.1,43
Columbia-Jf Cty,22567,0.14,121,0.16,128
Charlstn-Huntng,22405,0.14,40,0.09,33
Gainesville,22151,0.14,116,0.13,104
Chattanooga,22093,0.14,69,0.11,52
Pdch-Cg-Har-Mtv,20010,0.12,63,0.1,54
Ft. Wayne,19396,0.12,70,0.1,60
Topeka,17983,0.11,92,0.1,75
Youngstown,17814,0.11,70,0.08,53
Anchorage,17642,0.11,105,0.08,61
Augusta,17619,0.11,68,0.08,53
Evansville,17145,0.11,62,0.08,49
Wilmington,16898,0.1,73,0.08,57
Rch-Masn Cy-Aus,16622,0.1,134,0.08,85
El Paso,16570,0.1,54,0.06,37
Greenvl-NB-Wash,16417,0.1,48,0.07,35
Rockford,16147,0.1,80,0.1,81
Wausau-Rhineldr,15900,0.1,107,0.07,66
Travrs Cty-Cdlc,15491,0.1,77,0.06,49
Flrnce-Mrtl Bch,15124,0.09,46,0.05,29
Shreveport,14809,0.09,43,0.05,27
Lafayette LA,14750,0.09,64,0.06,43
Tri-Cties TN-VA,14591,0.09,62,0.05,34
Minot-Bsmrk-Dkn,14468,0.09,74,0.07,57
Bangor,14302,0.09,102,0.05,49
Columbus GA,14185,0.09,83,0.07,54
Missoula,13802,0.09,142,0.08,107
Hrlg-Wsl-Brn-Ma,13616,0.08,43,0.06,34
Lubbock,13607,0.08,82,0.07,67
Erie,13519,0.08,58,0.07,52
Duluth-Superior,13041,0.08,106,0.06,73
Chico-Redding,12983,0.08,88,0.05,40
Binghamton,12963,0.08,61,0.08,67
Macon,12950,0.08,40,0.06,41
Tyler-Longview,12931,0.08,47,0.05,36
Sioux City,12573,0.08,98,0.05,50
Palm Springs,12476,0.08,61,0.05,42
Lafayette IN,12460,0.08,153,0.07,114
Bakersfield,11943,0.07,61,0.05,43
Montgomery(Sel),11683,0.07,60,0.05,39
Medford-Klm Fls,11202,0.07,91,0.04,44
Salisbury,11105,0.07,70,0.05,42
Amarillo,10507,0.07,48,0.05,42
Harrisonburg,10159,0.06,117,0.06,89
Corpus Christi,9750,0.06,48,0.03,29
Billings,9042,0.06,109,0.04,60
Utica,8668,0.05,67,0.04,51
Odessa-Midland,8574,0.05,53,0.04,47
Butte-Bozeman,8532,0.05,176,0.04,98
Marquette,8489,0.05,137,0.03,48
Idaho Falls-Poc,8389,0.05,89,0.03,49
Rapid City,8002,0.05,100,0.04,58
Terre Haute,7797,0.05,77,0.03,50
Monro-El Dorado,7632,0.05,47,0.02,28
Beaumnt-Prt Art,7599,0.05,38,0.03,34
Panama City,7369,0.05,47,0.02,24
Joplin-Pittsbrg,7239,0.04,65,0.03,40
Columbus-Tup-Wp,6901,0.04,56,0.03,41
Wichta Fls&Lwtn,6898,0.04,49,0.02,30
Watertown,6833,0.04,61,0.03,45
Bend OR,6729,0.04,211,0.03,91
Wheeling-Steub.,6524,0.04,56,0.04,55
Biloxi-Gulfport,6475,0.04,43,0.02,25
Elmira,6371,0.04,48,0.03,34
Quincy-Hbl-Keok,5965,0.04,82,0.02,50
Abilene-Swtwatr,5877,0.04,47,0.02,30
