DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1002049,13.58,188,21.91,269
Chicago,489638,6.64,223,8.5,271
Los Angeles,426663,5.78,92,4.38,87
Wash DC (Hag),367290,4.98,127,5.79,164
San Fran-Oak-SJ,288155,3.91,84,2.95,63
Boston (Manchr),260456,3.53,173,4.41,163
Dallas-Ft.Worth,254889,3.45,161,2.86,132
Atlanta,239239,3.24,143,3.33,151
Seattle-Tacoma,217938,2.95,166,3.25,162
Houston,199616,2.71,144,2.72,143
Philadelphia,180994,2.45,72,2.28,74
Austin,173117,2.35,384,2.93,416
Portland OR,156525,2.12,82,2.69,101
Denver,152752,2.07,173,2,145
Detroit,126754,1.72,132,1.63,111
Mineapls-St. Pl,126086,1.71,142,1.4,94
San Diego,118337,1.6,184,1.84,198
Las Vegas,112778,1.53,220,1.59,205
Miami-Ft. Laude,88548,1.2,93,1.18,93
Phoenix,83937,1.14,70,0.71,48
Sacrmnto-Stk-Mo,64023,0.87,87,0.53,51
Nashville,62758,0.85,129,0.88,119
New Orleans,62491,0.85,219,1.11,275
Tampa-St P(Sar),61888,0.84,56,0.53,37
Cleveland,59094,0.8,49,0.52,34
Baltimore,56888,0.77,90,0.63,65
Orl-Dytn B-Mlbn,55222,0.75,62,0.48,39
Raleigh-Dur(Fy),53563,0.73,59,0.49,41
St. Louis,49640,0.67,94,0.43,48
Hartfrd&Nw Havn,47526,0.64,96,0.47,56
Pittsburgh,44409,0.6,66,0.44,47
Columbus OH,43486,0.59,32,0.37,34
Portland-Auburn,40154,0.54,165,0.54,145
Charlotte,39854,0.54,55,0.36,38
Kansas City,39676,0.54,19,0.34,33
Milwaukee,38352,0.52,69,0.34,44
Indianapolis,38245,0.52,77,0.33,45
Charleston SC,34451,0.47,201,0.69,313
Cincinnati,32737,0.44,51,0.28,35
San Antonio,32482,0.44,70,0.29,47
Salt Lake City,30487,0.41,63,0.25,27
West Plm Bch-FP,29465,0.4,78,0.28,51
Louisville,29118,0.39,67,0.25,50
Madison,28788,0.39,165,0.24,75
Gr.Rapids-Kl-Bc,25870,0.35,80,0.23,42
Grvl-Spa-Ash-An,25270,0.34,86,0.22,45
Providnc-N. Bed,23002,0.31,74,0.25,49
Albany-Sch-Troy,22960,0.31,63,0.24,47
Harrsbg-La-Lb-Y,21856,0.3,42,0.19,26
Jacksonville,21594,0.29,59,0.18,34
Nrflk-Prt-Np Nw,20947,0.28,50,0.17,31
Richmond-Ptrsbg,20600,0.28,64,0.2,42
Oklahoma City,20362,0.28,64,0.16,35
Albuq-Santa Fe,19385,0.26,75,0.16,42
Honolulu,18881,0.26,65,0.18,44
Greensbro-HP-WS,18765,0.25,52,0.15,31
