DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1602543,8.26,115,8.59,106
Los Angeles,1202642,6.2,98,6.71,134
Chicago,759015,3.91,132,4.03,129
San Fran-Oak-SJ,650802,3.35,72,3.3,71
Wash DC (Hag),630033,3.25,83,3.39,96
Philadelphia,595391,3.07,90,3.22,105
Boston (Manchr),585134,3.02,149,3.14,116
Dallas-Ft.Worth,487882,2.51,118,2.44,113
Atlanta,464031,2.39,106,2.29,104
Houston,430795,2.22,119,2.29,122
Seattle-Tacoma,402559,2.07,118,1.97,99
Detroit,325104,1.68,130,1.63,112
Phoenix,315999,1.63,102,1.66,111
Mineapls-St. Pl,314135,1.62,135,1.73,118
Denver,306266,1.58,133,1.65,121
Tampa-St P(Sar),284242,1.46,100,1.32,91
Cleveland,264264,1.36,85,1.31,85
Miami-Ft. Laude,244801,1.26,99,1.33,105
Sacrmnto-Stk-Mo,237278,1.22,123,1.19,114
Orl-Dytn B-Mlbn,231455,1.19,101,1.09,89
San Diego,228716,1.18,135,1.2,129
Baltimore,210717,1.09,127,1.1,115
Raleigh-Dur(Fy),208711,1.08,89,1.08,90
St. Louis,206416,1.06,149,1.07,117
Portland OR,204232,1.05,41,1.11,42
Pittsburgh,200669,1.03,114,1.11,118
Hartfrd&Nw Havn,183041,0.94,142,0.93,112
Charlotte,177557,0.91,95,0.89,94
Columbus OH,172572,0.89,48,0.85,77
Austin,169522,0.87,143,0.9,128
Nashville,165441,0.85,129,0.87,118
Indianapolis,164389,0.85,127,0.85,118
Kansas City,158989,0.82,30,0.84,81
Milwaukee,146942,0.76,101,0.73,95
Salt Lake City,145683,0.75,115,0.79,86
Cincinnati,142848,0.74,86,0.76,95
San Antonio,121644,0.63,99,0.61,102
Harrsbg-La-Lb-Y,117273,0.6,87,0.6,80
Nrflk-Prt-Np Nw,115483,0.6,105,0.57,105
Las Vegas,114508,0.59,85,0.59,76
West Plm Bch-FP,111868,0.58,113,0.56,103
Gr.Rapids-Kl-Bc,102781,0.53,121,0.49,94
Providnc-N. Bed,102699,0.53,126,0.51,102
Jacksonville,99431,0.51,104,0.49,95
Grvl-Spa-Ash-An,98529,0.51,130,0.47,97
Richmond-Ptrsbg,93353,0.48,111,0.47,103
Albany-Sch-Troy,91983,0.47,97,0.46,93
Oklahoma City,91979,0.47,111,0.46,102
Louisville,90268,0.47,79,0.44,88
Greensbro-HP-WS,89669,0.46,96,0.44,89
New Orleans,88276,0.45,118,0.47,117
Birmingham,87190,0.45,112,0.45,100
Albuq-Santa Fe,85821,0.44,129,0.43,112
Buffalo,84722,0.44,30,0.4,67
Memphis,83211,0.43,111,0.42,109
Ft. Myers-Napls,73041,0.38,95,0.36,86
Omaha,70686,0.36,119,0.4,120
Rochester NY,70382,0.36,88,0.36,90
Tucson (S Vsta),70344,0.36,144,0.36,116
Madison,69161,0.36,153,0.37,118
Litl Rck-Pn Blf,67510,0.35,95,0.32,93
Wilkes Bar-Scr,67340,0.35,69,0.32,65
Dayton,66991,0.35,85,0.32,83
Portland-Auburn,65854,0.34,103,0.31,85
Fresno-Visalia,64445,0.33,110,0.33,108
Tulsa,63451,0.33,95,0.31,89
Honolulu,62344,0.32,82,0.33,85
Mobile-Pns(Fwb),61077,0.31,86,0.29,84
Knoxville,60728,0.31,118,0.31,100
Syracuse,60677,0.31,92,0.31,81
Des Moines-Ames,60171,0.31,109,0.31,94
Lexington,59270,0.31,70,0.28,72
Green Bay-Apltn,56672,0.29,98,0.27,90
Roanoke-Lnchbrg,55941,0.29,113,0.28,102
Columbia SC,54786,0.28,91,0.28,93
Wichta-Htch Pls,54633,0.28,115,0.25,87
