DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,853818,7.1,99,7.57,93
Los Angeles,685792,5.7,90,5.59,111
San Fran-Oak-SJ,527638,4.39,95,4.49,96
Chicago,470051,3.91,132,3.89,125
Wash DC (Hag),381936,3.18,81,4.53,128
Dallas-Ft.Worth,351584,2.92,137,2.75,127
Houston,322865,2.68,143,2.47,132
Philadelphia,313552,2.61,77,2.57,84
Boston (Manchr),294206,2.45,121,3.64,134
Atlanta,286372,2.38,105,2.22,101
Seattle-Tacoma,239378,1.99,113,2.12,107
Detroit,219058,1.82,140,1.8,123
Phoenix,212260,1.77,110,1.78,119
Denver,206785,1.72,144,1.67,123
Mineapls-St. Pl,182269,1.52,126,1.45,99
Tampa-St P(Sar),181279,1.51,102,1.45,100
Cleveland,174339,1.45,91,1.29,84
Orl-Dytn B-Mlbn,160984,1.34,112,1.28,104
Sacrmnto-Stk-Mo,157454,1.31,131,1.28,122
San Diego,155148,1.29,148,1.38,149
St. Louis,149389,1.24,174,1.29,142
Miami-Ft. Laude,139132,1.16,90,1.1,87
Portland OR,130933,1.09,43,1.2,45
Raleigh-Dur(Fy),123215,1.02,84,1.09,92
Hartfrd&Nw Havn,117394,0.98,147,1.02,123
Charlotte,112939,0.94,97,0.85,88
Austin,110598,0.92,151,0.92,130
Kansas City,109352,0.91,33,0.81,78
Columbus OH,107415,0.89,48,0.83,76
Pittsburgh,104648,0.87,96,0.82,87
Baltimore,103967,0.86,101,0.93,97
Indianapolis,103172,0.86,129,0.78,108
West Plm Bch-FP,96771,0.8,159,0.78,143
Milwaukee,93511,0.78,104,0.7,91
Nashville,88029,0.73,111,0.62,85
Salt Lake City,85935,0.71,110,0.63,69
Las Vegas,82599,0.69,99,0.72,94
Cincinnati,82571,0.69,80,0.71,89
San Antonio,76032,0.63,100,0.63,104
Gr.Rapids-Kl-Bc,71562,0.6,136,0.55,104
Oklahoma City,68904,0.57,135,0.51,114
Grvl-Spa-Ash-An,67580,0.56,144,0.58,119
Jacksonville,65338,0.54,111,0.5,96
Harrsbg-La-Lb-Y,60600,0.5,72,0.51,69
Ft. Myers-Napls,58491,0.49,124,0.52,125
Nrflk-Prt-Np Nw,57561,0.48,85,0.51,93
Buffalo,54163,0.45,31,0.37,63
Louisville,53861,0.45,76,0.39,77
Albany-Sch-Troy,52781,0.44,89,0.4,82
Greensbro-HP-WS,51958,0.43,89,0.38,76
Richmond-Ptrsbg,50611,0.42,97,0.5,109
Albuq-Santa Fe,50291,0.42,122,0.42,108
Tulsa,49953,0.42,121,0.37,106
Birmingham,48992,0.41,101,0.35,79
New Orleans,48517,0.4,105,0.36,90
Memphis,47703,0.4,103,0.37,95
Litl Rck-Pn Blf,47116,0.39,107,0.34,96
Honolulu,45606,0.38,97,0.42,106
Rochester NY,44167,0.37,89,0.33,83
Mobile-Pns(Fwb),43621,0.36,99,0.32,92
Tucson (S Vsta),43367,0.36,143,0.41,133
Providnc-N. Bed,42883,0.36,84,0.35,70
Madison,42814,0.36,151,0.33,102
Dayton,41993,0.35,86,0.32,82
Wilkes Bar-Scr,41889,0.35,69,0.31,63
Wichta-Htch Pls,41324,0.34,140,0.33,117
Green Bay-Apltn,41081,0.34,114,0.3,98
Flint-Sagnaw-BC,40449,0.34,139,0.29,102
Omaha,39111,0.33,107,0.38,112
Knoxville,37729,0.31,118,0.31,97
Des Moines-Ames,36326,0.3,106,0.28,84
Fresno-Visalia,35570,0.3,98,0.26,82
Lexington,35297,0.29,68,0.24,64
Portland-Auburn,34977,0.29,88,0.32,87
Springfield MO,34934,0.29,111,0.24,94
Syracuse,33851,0.28,83,0.27,71
Toledo,33562,0.28,74,0.24,70
Champgn&Spr-Dec,32945,0.27,113,0.26,97
Peoria-Blmingtn,32785,0.27,136,0.24,119
Columbia SC,32411,0.27,86,0.25,83
Roanoke-Lnchbrg,31748,0.26,103,0.25,89
Reno,31739,0.26,192,0.25,138
Waco-Templ-Bryn,30889,0.26,80,0.23,83
Colo Sprngs-Pbl,30869,0.26,120,0.24,92
Burlngtn-Pltbrg,29828,0.25,110,0.25,89
Spokane,29692,0.25,92,0.39,131
Cdr Rp-Wa-Ic&Db,28040,0.23,114,0.22,87
Hntvle-Dctr(FL),27781,0.23,119,0.23,101
So. Bend-Elkhrt,27446,0.23,107,0.22,94
Lansing,26658,0.22,118,0.2,95
Charlstn-Huntng,26214,0.22,64,0.17,58
Pdch-Cg-Har-Mtv,26017,0.22,111,0.18,91
Savannah,25692,0.21,98,0.19,84
Boise,25357,0.21,116,0.2,87
Santabar-Sm-Slo,25304,0.21,153,0.23,132
Ft Smh-Fy-Sp-Rg,25067,0.21,117,0.2,113
Davnprt-Ri-Mlne,24868,0.21,104,0.18,85
Charleston SC,24352,0.2,88,0.28,127
Jackson MS,24027,0.2,102,0.18,99
Tyler-Longview,23077,0.19,114,0.16,111
Johnstown-Altna,22937,0.19,96,0.17,72
Chattanooga,22802,0.19,96,0.15,72
Flrnce-Mrtl Bch,22374,0.19,92,0.16,85
Monterey-Salnas,21788,0.18,161,0.2,140
Baton Rouge,21667,0.18,83,0.17,81
Lin&Hst-Krny,21465,0.18,78,0.16,67
La Crss-Eau Clr,20813,0.17,116,0.15,85
Lafayette LA,20371,0.17,121,0.14,106
Eugene,20357,0.17,133,0.16,87
Evansville,20356,0.17,98,0.16,99
Shreveport,20233,0.17,80,0.14,73
Springfld-Hlyok,20020,0.17,90,0.15,61
Travrs Cty-Cdlc,19823,0.16,134,0.13,109
Tallhsee-Thmsvl,19689,0.16,87,0.15,75
Augusta,18980,0.16,100,0.13,81
Anchorage,18944,0.16,152,0.17,125
Sioux Fls(Mchl),18766,0.16,91,0.15,76
Ft. Wayne,18210,0.15,90,0.13,73
Youngstown,18068,0.15,96,0.13,83
Topeka,18040,0.15,124,0.13,97
Chico-Redding,17617,0.15,160,0.14,125
Greenvl-NB-Wash,17605,0.15,69,0.14,69
Fargo-Vally Cty,17425,0.14,106,0.14,77
Tri-Cties TN-VA,17073,0.14,99,0.13,81
Wilmington,17057,0.14,100,0.13,90
El Paso,16885,0.14,74,0.14,85
Gainesville,16071,0.13,113,0.14,117
Hrlg-Wsl-Brn-Ma,15886,0.13,69,0.1,59
Macon,15884,0.13,66,0.11,69
Rockford,15509,0.13,103,0.11,88
Palm Springs,15359,0.13,102,0.13,114
Minot-Bsmrk-Dkn,15236,0.13,105,0.12,92
Bakersfield,15124,0.13,105,0.11,90
Corpus Christi,14836,0.12,100,0.11,95
Wausau-Rhineldr,14754,0.12,135,0.1,95
Odessa-Midland,14637,0.12,123,0.11,119
