DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,2192582,13.41,187,19.91,245
Los Angeles,1118188,6.84,108,7.27,145
San Fran-Oak-SJ,845843,5.17,111,5.59,120
Wash DC (Hag),749726,4.59,118,5.65,160
Chicago,679239,4.15,140,5,160
Boston (Manchr),614894,3.76,184,4.08,151
Philadelphia,520190,3.18,94,3.36,110
Seattle-Tacoma,436547,2.67,150,2.53,127
Atlanta,338282,2.07,92,1.77,81
Dallas-Ft.Worth,323955,1.98,93,1.72,79
Mineapls-St. Pl,268087,1.64,136,1.57,107
Denver,264599,1.62,135,1.61,118
Houston,264583,1.62,87,1.46,77
Portland OR,235687,1.44,57,1.44,54
Detroit,230594,1.41,108,1.2,82
Phoenix,214233,1.31,81,0.98,66
Austin,204524,1.25,205,1.48,210
San Diego,188979,1.16,133,1.02,110
Baltimore,183192,1.12,131,1.15,120
Raleigh-Dur(Fy),179961,1.1,90,1.04,87
Tampa-St P(Sar),171443,1.05,71,0.75,52
Miami-Ft. Laude,170604,1.04,81,0.86,68
Orl-Dytn B-Mlbn,161009,0.98,82,0.7,57
Sacrmnto-Stk-Mo,159982,0.98,98,0.77,73
Cleveland,154732,0.95,59,0.74,48
Pittsburgh,154651,0.95,104,0.98,103
Hartfrd&Nw Havn,151621,0.93,139,0.89,107
St. Louis,141444,0.87,121,0.74,82
Columbus OH,133522,0.82,44,0.74,68
Kansas City,118096,0.72,26,0.65,63
Indianapolis,116118,0.71,106,0.62,86
Nashville,114985,0.7,106,0.56,77
Charlotte,114190,0.7,72,0.53,56
Salt Lake City,114049,0.7,107,0.48,52
Milwaukee,104275,0.64,85,0.55,71
Cincinnati,99025,0.61,70,0.48,60
Providnc-N. Bed,83404,0.51,121,0.42,85
Gr.Rapids-Kl-Bc,80292,0.49,112,0.36,69
Albany-Sch-Troy,79275,0.48,99,0.44,89
Richmond-Ptrsbg,77137,0.47,109,0.42,91
Madison,75363,0.46,197,0.49,153
Harrsbg-La-Lb-Y,75215,0.46,66,0.36,48
Las Vegas,74003,0.45,65,0.33,43
San Antonio,71090,0.43,69,0.31,52
Grvl-Spa-Ash-An,68738,0.42,107,0.32,66
New Orleans,68355,0.42,109,0.45,113
Nrflk-Prt-Np Nw,68286,0.42,74,0.31,57
Buffalo,67262,0.41,28,0.33,56
West Plm Bch-FP,65607,0.4,79,0.29,53
Syracuse,62197,0.38,113,0.32,84
Albuq-Santa Fe,59595,0.36,106,0.31,80
Oklahoma City,57485,0.35,82,0.28,64
Jacksonville,57252,0.35,71,0.26,51
Burlngtn-Pltbrg,56951,0.35,154,0.33,116
Louisville,56722,0.35,59,0.28,57
Greensbro-HP-WS,56630,0.35,71,0.26,52
Rochester NY,56536,0.35,84,0.3,75
Portland-Auburn,55607,0.34,104,0.29,80
Birmingham,52527,0.32,80,0.25,56
Tucson (S Vsta),50115,0.31,120,0.24,79
Honolulu,49726,0.3,77,0.22,56
Omaha,48388,0.3,97,0.25,76
Memphis,47101,0.29,74,0.23,59
Springfld-Hlyok,46288,0.28,152,0.25,100
Des Moines-Ames,45971,0.28,99,0.23,68
Champgn&Spr-Dec,45453,0.28,114,0.24,88
Wilkes Bar-Scr,43741,0.27,53,0.2,41
Lexington,43117,0.26,61,0.22,58
Roanoke-Lnchbrg,42479,0.26,102,0.2,73
Santabar-Sm-Slo,41839,0.26,185,0.2,113
Dayton,41386,0.25,62,0.19,50
Knoxville,41295,0.25,95,0.19,61
Cdr Rp-Wa-Ic&Db,40671,0.25,121,0.2,78
Spokane,37352,0.23,85,0.17,58
Eugene,37345,0.23,179,0.18,95
Litl Rck-Pn Blf,36617,0.22,61,0.17,50
Mobile-Pns(Fwb),36105,0.22,60,0.15,43
Ft. Myers-Napls,35964,0.22,55,0.13,32
Tulsa,35772,0.22,63,0.18,52
Colo Sprngs-Pbl,33976,0.21,96,0.14,55
Fresno-Visalia,33970,0.21,68,0.11,37
Columbia SC,33854,0.21,66,0.16,53
Johnstown-Altna,33769,0.21,103,0.15,63
Monterey-Salnas,33505,0.2,182,0.15,109
Lansing,32680,0.2,106,0.16,75
Charleston SC,32620,0.2,86,0.18,82
Toledo,32155,0.2,52,0.13,37
Waco-Templ-Bryn,31876,0.19,61,0.12,42
Green Bay-Apltn,31439,0.19,64,0.12,41
Tallhsee-Thmsvl,30155,0.18,97,0.15,78
Flint-Sagnaw-BC,29593,0.18,75,0.12,41
Wichta-Htch Pls,29000,0.18,72,0.11,38
Boise,28541,0.17,95,0.13,58
Lin&Hst-Krny,27458,0.17,73,0.11,49
Reno,27307,0.17,121,0.14,80
So. Bend-Elkhrt,27144,0.17,78,0.11,49
Springfield MO,26491,0.16,62,0.1,38
Baton Rouge,26158,0.16,74,0.12,55
Charlottesville,26061,0.16,156,0.19,164
Gainesville,25646,0.16,133,0.13,103
Peoria-Blmingtn,25276,0.15,78,0.11,54
Hntvle-Dctr(FL),25072,0.15,79,0.1,44
Chattanooga,24544,0.15,75,0.1,47
Savannah,23502,0.14,66,0.1,45
Davnprt-Ri-Mlne,22952,0.14,70,0.1,50
Ft Smh-Fy-Sp-Rg,22792,0.14,78,0.09,52
Charlstn-Huntng,21866,0.13,39,0.08,28
Fargo-Vally Cty,21480,0.13,96,0.09,52
Columbia-Jf Cty,21106,0.13,111,0.11,86
Sioux Fls(Mchl),20557,0.13,72,0.09,46
Pdch-Cg-Har-Mtv,20447,0.13,64,0.09,45
La Crss-Eau Clr,19929,0.12,81,0.08,46
Jackson MS,19885,0.12,61,0.09,48
Anchorage,19721,0.12,116,0.1,77
Augusta,18387,0.11,70,0.08,47
El Paso,17665,0.11,57,0.07,41
Yakm-Psc-Rch-Kn,17429,0.11,104,0.07,54
Greenvl-NB-Wash,17191,0.11,49,0.06,32
Wilmington,16346,0.1,70,0.07,46
Ft. Wayne,15577,0.1,56,0.06,36
Palm Springs,15571,0.1,75,0.06,58
Topeka,15467,0.09,78,0.07,51
Hrlg-Wsl-Brn-Ma,15436,0.09,49,0.07,40
Chico-Redding,15197,0.09,102,0.07,58
Travrs Cty-Cdlc,15184,0.09,75,0.05,43
