DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1593978,9.15,127,10.49,129
Los Angeles,1195304,6.86,109,7.61,152
San Fran-Oak-SJ,921639,5.29,114,5.73,123
Wash DC (Hag),669977,3.85,99,4.14,117
Chicago,656774,3.77,127,4.19,134
Boston (Manchr),545277,3.13,153,3.33,123
Seattle-Tacoma,531031,3.05,172,3.44,173
Philadelphia,484553,2.78,82,2.76,90
Dallas-Ft.Worth,416707,2.39,112,2.56,118
Atlanta,365573,2.1,93,2.06,94
Houston,326169,1.87,100,2.01,107
Denver,314486,1.81,151,1.9,139
Mineapls-St. Pl,292150,1.68,139,1.69,115
Portland OR,290890,1.67,65,1.68,63
Phoenix,266017,1.53,96,1.46,98
Detroit,265801,1.53,117,1.59,109
San Diego,228892,1.31,151,1.4,151
Austin,217284,1.25,205,1.46,207
Sacrmnto-Stk-Mo,206330,1.18,119,1.07,103
Orl-Dytn B-Mlbn,202378,1.16,97,1.05,86
Tampa-St P(Sar),200027,1.15,78,0.96,66
Raleigh-Dur(Fy),194546,1.12,92,1.11,93
Miami-Ft. Laude,194421,1.12,87,1.19,94
Cleveland,192645,1.11,69,0.98,64
Baltimore,177274,1.02,119,1.02,107
Salt Lake City,172495,0.99,152,1.03,112
St. Louis,164453,0.94,132,0.94,103
Pittsburgh,155903,0.89,98,0.87,92
Columbus OH,150414,0.86,47,0.89,81
Hartfrd&Nw Havn,147050,0.84,127,0.88,106
Kansas City,142109,0.82,30,0.84,81
Indianapolis,133615,0.77,115,0.73,101
Charlotte,132285,0.76,78,0.7,73
Milwaukee,121265,0.7,93,0.68,87
Nashville,121145,0.7,105,0.64,87
Cincinnati,116932,0.67,78,0.66,83
Gr.Rapids-Kl-Bc,107707,0.62,141,0.58,112
Las Vegas,94934,0.54,78,0.48,62
San Antonio,89903,0.52,82,0.45,75
Harrsbg-La-Lb-Y,85868,0.49,71,0.44,59
Grvl-Spa-Ash-An,82257,0.47,121,0.39,81
Albany-Sch-Troy,79677,0.46,93,0.4,81
Nrflk-Prt-Np Nw,79382,0.46,80,0.41,74
Madison,77651,0.45,190,0.46,143
Providnc-N. Bed,77326,0.44,105,0.38,77
Richmond-Ptrsbg,74755,0.43,99,0.38,84
Oklahoma City,74678,0.43,100,0.44,98
West Plm Bch-FP,73202,0.42,82,0.38,70
Albuq-Santa Fe,72587,0.42,122,0.38,97
Buffalo,71947,0.41,28,0.35,59
Rochester NY,69939,0.4,98,0.37,94
Louisville,68574,0.39,67,0.35,70
Jacksonville,68319,0.39,80,0.37,72
Honolulu,66402,0.38,97,0.43,109
Tucson (S Vsta),64277,0.37,145,0.34,111
Greensbro-HP-WS,63756,0.37,75,0.31,63
New Orleans,63740,0.37,95,0.33,82
Syracuse,60495,0.35,103,0.29,76
Birmingham,59352,0.34,85,0.31,70
Burlngtn-Pltbrg,56278,0.32,143,0.27,95
Portland-Auburn,55940,0.32,98,0.26,70
Omaha,55855,0.32,105,0.32,93
Des Moines-Ames,55381,0.32,112,0.3,89
Dayton,52626,0.3,74,0.3,77
Spokane,51677,0.3,110,0.26,86
Memphis,51634,0.3,77,0.28,72
Lexington,50568,0.29,67,0.25,66
Champgn&Spr-Dec,49087,0.28,116,0.23,87
Roanoke-Lnchbrg,48861,0.28,110,0.26,92
Santabar-Sm-Slo,48342,0.28,202,0.28,160
Tulsa,48060,0.28,80,0.27,78
Knoxville,48034,0.28,104,0.24,75
Wilkes Bar-Scr,47760,0.27,54,0.2,41
Fresno-Visalia,47257,0.27,89,0.21,69
Litl Rck-Pn Blf,47212,0.27,74,0.24,70
Eugene,46991,0.27,211,0.21,115
Colo Sprngs-Pbl,46542,0.27,124,0.23,87
Cdr Rp-Wa-Ic&Db,45579,0.26,127,0.23,93
Mobile-Pns(Fwb),45504,0.26,71,0.21,61
Wichta-Htch Pls,43701,0.25,103,0.22,75
Ft. Myers-Napls,42603,0.24,62,0.19,45
Green Bay-Apltn,41553,0.24,80,0.19,62
Boise,41335,0.24,130,0.21,93
Waco-Templ-Bryn,41175,0.24,74,0.18,65
Springfld-Hlyok,39973,0.23,123,0.19,78
Toledo,39816,0.23,60,0.18,52
Flint-Sagnaw-BC,39614,0.23,94,0.18,62
Monterey-Salnas,38659,0.22,197,0.21,152
Lansing,38210,0.22,117,0.17,84
Springfield MO,36984,0.21,81,0.16,62
Johnstown-Altna,36856,0.21,106,0.16,68
Reno,36503,0.21,152,0.18,98
Hntvle-Dctr(FL),36431,0.21,107,0.21,91
Columbia SC,35505,0.2,65,0.18,59
So. Bend-Elkhrt,34939,0.2,94,0.16,69
Charleston SC,34766,0.2,86,0.18,79
Lin&Hst-Krny,32250,0.19,80,0.16,69
Tallhsee-Thmsvl,31381,0.18,96,0.17,86
Chattanooga,31184,0.18,90,0.16,76
Peoria-Blmingtn,30522,0.18,88,0.15,75
Baton Rouge,29793,0.17,79,0.16,76
Ft Smh-Fy-Sp-Rg,29575,0.17,95,0.15,83
Davnprt-Ri-Mlne,28461,0.16,82,0.12,55
Anchorage,28367,0.16,156,0.15,115
Savannah,27780,0.16,73,0.11,51
Gainesville,27671,0.16,135,0.15,123
Fargo-Vally Cty,27649,0.16,116,0.14,79
Charlstn-Huntng,27320,0.16,46,0.12,41
Pdch-Cg-Har-Mtv,25525,0.15,75,0.12,60
Sioux Fls(Mchl),24807,0.14,83,0.13,63
La Crss-Eau Clr,24799,0.14,95,0.11,60
Jackson MS,24450,0.14,71,0.13,70
Yakm-Psc-Rch-Kn,23820,0.14,134,0.12,100
El Paso,23533,0.14,71,0.11,68
Columbia-Jf Cty,23379,0.13,116,0.13,106
Charlottesville,22355,0.13,126,0.12,103
Hrlg-Wsl-Brn-Ma,21477,0.12,64,0.11,66
Chico-Redding,21429,0.12,134,0.09,78
Greenvl-NB-Wash,21331,0.12,57,0.09,46
Topeka,21272,0.12,101,0.09,70
Augusta,21134,0.12,77,0.1,64
Travrs Cty-Cdlc,21081,0.12,98,0.08,68
Ft. Wayne,20772,0.12,71,0.09,50
Medford-Klm Fls,19967,0.11,152,0.08,89
Tri-Cties TN-VA,19743,0.11,78,0.08,49
Evansville,19363,0.11,65,0.09,52
Wilmington,18834,0.11,76,0.07,51
Tyler-Longview,18427,0.11,63,0.08,53
Shreveport,17961,0.1,48,0.08,43
Youngstown,17650,0.1,65,0.07,46
Rockford,17360,0.1,79,0.08,66
Bakersfield,17318,0.1,82,0.09,76
Lafayette LA,17057,0.1,70,0.08,63
Flrnce-Mrtl Bch,16964,0.1,47,0.07,38
Lubbock,16414,0.09,92,0.08,81
Rch-Masn Cy-Aus,16230,0.09,121,0.1,98
Binghamton,16150,0.09,70,0.08,66
Lafayette IN,16097,0.09,184,0.09,146
Macon,16084,0.09,46,0.07,40
Missoula,16068,0.09,155,0.06,81
Columbus GA,15850,0.09,86,0.08,63
Palm Springs,15549,0.09,70,0.07,61
Wausau-Rhineldr,15121,0.09,95,0.06,56
Erie,14826,0.09,60,0.06,47
Duluth-Superior,14627,0.08,111,0.06,65
Bangor,14307,0.08,95,0.05,54
Amarillo,13927,0.08,59,0.06,50
Corpus Christi,13805,0.08,64,0.06,52
