DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,896273,8.2,114,9.23,114
Los Angeles,737558,6.75,107,7.16,142
San Fran-Oak-SJ,549823,5.03,108,5.16,111
Chicago,415337,3.8,127,4.21,135
Wash DC (Hag),414345,3.79,97,4.44,126
Boston (Manchr),327909,3,147,3.37,124
Seattle-Tacoma,315509,2.89,163,3.35,169
Philadelphia,307665,2.81,83,2.92,95
Dallas-Ft.Worth,246322,2.25,104,2.35,108
Atlanta,223749,2.05,90,1.99,91
Houston,199473,1.82,97,1.83,97
Denver,193093,1.77,148,1.82,133
Mineapls-St. Pl,181917,1.66,138,1.78,121
Portland OR,177575,1.62,64,1.78,67
Detroit,171917,1.57,121,1.51,103
Phoenix,166722,1.53,95,1.44,96
San Diego,138494,1.27,146,1.24,134
Austin,135504,1.24,203,1.56,221
Sacrmnto-Stk-Mo,134656,1.23,124,1.09,104
Baltimore,130599,1.19,140,1.18,123
Orl-Dytn B-Mlbn,127466,1.17,98,1.05,85
Raleigh-Dur(Fy),125221,1.15,94,1.19,99
Cleveland,124117,1.14,70,1,65
Tampa-St P(Sar),122396,1.12,75,0.97,66
Salt Lake City,109752,1,154,0.95,103
Miami-Ft. Laude,108660,0.99,77,0.88,70
St. Louis,108540,0.99,139,1.01,112
Pittsburgh,102847,0.94,103,1,106
Columbus OH,99307,0.91,49,0.92,83
Kansas City,93196,0.85,31,0.91,88
Hartfrd&Nw Havn,90195,0.83,124,0.8,96
Indianapolis,89772,0.82,123,0.78,108
Charlotte,85130,0.78,80,0.7,73
Nashville,77930,0.71,108,0.65,88
Milwaukee,76158,0.7,93,0.67,86
Cincinnati,74298,0.68,79,0.64,81
Gr.Rapids-Kl-Bc,68294,0.62,143,0.57,108
San Antonio,61343,0.56,89,0.51,84
Las Vegas,61165,0.56,80,0.49,64
Harrsbg-La-Lb-Y,55293,0.51,72,0.46,62
Grvl-Spa-Ash-An,54657,0.5,128,0.47,95
Nrflk-Prt-Np Nw,53308,0.49,86,0.43,79
Madison,52030,0.48,203,0.54,169
Albuq-Santa Fe,51381,0.47,137,0.45,116
Oklahoma City,51259,0.47,110,0.49,108
Albany-Sch-Troy,49735,0.45,93,0.44,89
Providnc-N. Bed,49694,0.45,108,0.45,90
Richmond-Ptrsbg,48986,0.45,103,0.41,89
Louisville,47200,0.43,73,0.41,82
Buffalo,45632,0.42,29,0.38,64
Tucson (S Vsta),44176,0.4,159,0.38,124
New Orleans,43983,0.4,105,0.41,101
Jacksonville,43942,0.4,82,0.37,72
Honolulu,42303,0.39,99,0.34,87
Greensbro-HP-WS,41847,0.38,79,0.36,72
West Plm Bch-FP,41341,0.38,74,0.34,62
Rochester NY,41096,0.38,91,0.36,90
Birmingham,40005,0.37,91,0.34,76
Syracuse,37795,0.35,102,0.31,81
Omaha,36989,0.34,110,0.34,100
Des Moines-Ames,36564,0.33,117,0.29,86
Lexington,36116,0.33,76,0.34,87
Portland-Auburn,35917,0.33,100,0.31,84
Memphis,35024,0.32,83,0.3,76
Burlngtn-Pltbrg,34813,0.32,141,0.28,101
Champgn&Spr-Dec,34352,0.31,129,0.31,115
Dayton,34347,0.31,77,0.29,75
Spokane,34148,0.31,115,0.26,87
Litl Rck-Pn Blf,33573,0.31,84,0.26,74
Tulsa,33229,0.3,89,0.28,81
Knoxville,33056,0.3,113,0.27,87
Fresno-Visalia,33028,0.3,100,0.22,70
Roanoke-Lnchbrg,32334,0.3,115,0.26,93
Colo Sprngs-Pbl,32061,0.29,137,0.24,92
Wilkes Bar-Scr,31975,0.29,58,0.24,48
Eugene,30799,0.28,221,0.26,141
Cdr Rp-Wa-Ic&Db,30778,0.28,137,0.27,109
Mobile-Pns(Fwb),29236,0.27,73,0.22,63
Wichta-Htch Pls,28663,0.26,106,0.2,72
Santabar-Sm-Slo,28221,0.26,187,0.22,127
Waco-Templ-Bryn,27986,0.26,80,0.21,73
Flint-Sagnaw-BC,27775,0.25,105,0.21,72
Toledo,27378,0.25,66,0.21,60
Springfld-Hlyok,26772,0.24,131,0.25,99
Lansing,26561,0.24,130,0.2,97
Boise,26263,0.24,132,0.21,94
Springfield MO,25810,0.24,90,0.18,71
Green Bay-Apltn,25612,0.23,78,0.17,56
Monterey-Salnas,24438,0.22,198,0.19,134
Reno,24423,0.22,162,0.21,116
Ft. Myers-Napls,24263,0.22,56,0.15,37
Columbia SC,23957,0.22,70,0.23,76
Johnstown-Altna,23492,0.21,107,0.18,76
Hntvle-Dctr(FL),23247,0.21,109,0.22,95
So. Bend-Elkhrt,22586,0.21,96,0.18,75
Tallhsee-Thmsvl,21481,0.2,104,0.23,119
Charleston SC,21183,0.19,83,0.17,75
Charlstn-Huntng,20506,0.19,55,0.14,49
Lin&Hst-Krny,20460,0.19,80,0.15,63
Peoria-Blmingtn,20443,0.19,93,0.16,79
Chattanooga,20285,0.19,93,0.16,74
Ft Smh-Fy-Sp-Rg,19936,0.18,102,0.18,102
Baton Rouge,19595,0.18,82,0.15,71
Davnprt-Ri-Mlne,18903,0.17,86,0.14,69
Anchorage,18760,0.17,165,0.19,145
Savannah,18615,0.17,77,0.15,66
Pdch-Cg-Har-Mtv,18396,0.17,86,0.14,71
Gainesville,18076,0.17,139,0.16,127
Fargo-Vally Cty,17691,0.16,118,0.14,78
El Paso,17416,0.16,83,0.14,85
Columbia-Jf Cty,16770,0.15,132,0.15,120
Sioux Fls(Mchl),16704,0.15,88,0.13,66
La Crss-Eau Clr,16391,0.15,100,0.11,63
Jackson MS,16009,0.15,73,0.14,76
Yakm-Psc-Rch-Kn,15418,0.14,138,0.12,99
Charlottesville,14922,0.14,134,0.14,125
Topeka,14876,0.14,113,0.13,99
Ft. Wayne,14561,0.13,78,0.09,52
Augusta,14434,0.13,83,0.1,60
Chico-Redding,14344,0.13,143,0.1,90
Hrlg-Wsl-Brn-Ma,14161,0.13,67,0.12,69
Evansville,13937,0.13,73,0.11,65
