DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
Los Angeles,589950,6.95,110,6.62,132
New York,576087,6.79,95,7.96,98
San Fran-Oak-SJ,371466,4.38,94,4.77,102
Chicago,316993,3.74,125,3.81,122
Wash DC (Hag),291671,3.44,88,3.89,110
Dallas-Ft.Worth,229617,2.71,126,2.58,119
Philadelphia,221908,2.62,77,2.88,94
Boston (Manchr),213953,2.52,123,3.22,119
Houston,199891,2.36,125,2.44,130
Detroit,199320,2.35,181,3.96,271
Seattle-Tacoma,194630,2.29,129,2.61,131
Atlanta,190951,2.25,99,2.3,105
Denver,155443,1.83,153,2.09,153
Phoenix,144794,1.71,106,1.4,94
Mineapls-St. Pl,134198,1.58,131,1.67,114
San Diego,115110,1.36,156,1.31,142
Cleveland,114338,1.35,84,1.23,80
Sacrmnto-Stk-Mo,113182,1.33,134,1.04,99
Tampa-St P(Sar),112783,1.33,89,1.05,72
Portland OR,109339,1.29,51,1.4,53
Orl-Dytn B-Mlbn,106970,1.26,106,1.04,85
Miami-Ft. Laude,94949,1.12,87,0.99,79
Austin,93729,1.1,181,1.4,198
Raleigh-Dur(Fy),91478,1.08,89,1.14,96
St. Louis,91185,1.07,150,1.08,119
Pittsburgh,81789,0.96,106,1,106
Baltimore,80916,0.95,112,1.02,107
Charlotte,80547,0.95,98,0.93,98
Columbus OH,79394,0.94,51,1.01,92
Hartfrd&Nw Havn,77065,0.91,136,0.95,115
Indianapolis,75053,0.88,133,0.93,129
Kansas City,74111,0.87,32,0.89,86
Salt Lake City,71976,0.85,130,0.84,91
Milwaukee,67445,0.79,106,0.87,112
Cincinnati,63540,0.75,87,0.86,108
Nashville,61410,0.72,110,0.64,87
Gr.Rapids-Kl-Bc,55442,0.65,148,0.65,124
Las Vegas,51962,0.61,88,0.49,63
San Antonio,50973,0.6,95,0.49,81
Harrsbg-La-Lb-Y,47258,0.56,80,0.54,73
Grvl-Spa-Ash-An,45972,0.54,138,0.57,117
West Plm Bch-FP,44228,0.52,103,0.46,85
Oklahoma City,40601,0.48,112,0.39,87
Nrflk-Prt-Np Nw,40223,0.47,84,0.44,80
Albany-Sch-Troy,39252,0.46,94,0.49,99
Jacksonville,38583,0.45,93,0.38,74
Richmond-Ptrsbg,36307,0.43,99,0.44,94
