DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1464590,11.58,161,14.73,181
Los Angeles,814944,6.44,102,6.64,132
San Fran-Oak-SJ,626737,4.96,107,5.61,120
Wash DC (Hag),609909,4.82,124,6.16,174
Chicago,543537,4.3,144,5.09,163
Boston (Manchr),488274,3.86,189,4.88,180
Philadelphia,396969,3.14,93,3.23,105
Seattle-Tacoma,364501,2.88,162,3.33,168
Atlanta,262847,2.08,91,1.78,81
Dallas-Ft.Worth,241647,1.91,88,1.53,71
Mineapls-St. Pl,226130,1.79,148,1.9,129
Denver,213923,1.69,141,1.74,127
Portland OR,211358,1.67,66,1.96,74
Houston,197742,1.56,83,1.39,74
Detroit,183313,1.45,112,1.33,91
Austin,166209,1.31,215,1.54,219
Phoenix,162590,1.29,80,1.02,69
Raleigh-Dur(Fy),153343,1.21,100,1.27,106
Baltimore,148799,1.18,138,1.25,131
San Diego,145830,1.15,132,1.07,115
Cleveland,126564,1,62,0.78,51
Tampa-St P(Sar),123528,0.98,65,0.66,45
Sacrmnto-Stk-Mo,122771,0.97,97,0.84,80
Pittsburgh,121816,0.96,106,0.98,104
Miami-Ft. Laude,118882,0.94,73,0.7,56
Hartfrd&Nw Havn,115245,0.91,137,0.94,113
St. Louis,114421,0.9,126,0.79,87
Orl-Dytn B-Mlbn,112572,0.89,74,0.6,49
Columbus OH,107223,0.85,46,0.81,74
Salt Lake City,96756,0.77,117,0.54,59
Kansas City,95159,0.75,27,0.68,66
Indianapolis,94672,0.75,112,0.69,95
Nashville,93186,0.74,112,0.59,81
Charlotte,84078,0.66,68,0.48,50
Milwaukee,81287,0.64,86,0.56,72
Cincinnati,76940,0.61,70,0.48,60
Madison,67639,0.53,227,0.62,196
Providnc-N. Bed,67336,0.53,127,0.53,106
Gr.Rapids-Kl-Bc,63355,0.5,114,0.37,70
Richmond-Ptrsbg,63218,0.5,115,0.44,96
Albany-Sch-Troy,59842,0.47,96,0.43,87
New Orleans,58862,0.47,121,0.57,141
Harrsbg-La-Lb-Y,56004,0.44,63,0.34,46
Grvl-Spa-Ash-An,55969,0.44,113,0.36,75
Nrflk-Prt-Np Nw,55107,0.44,77,0.32,59
San Antonio,53783,0.43,67,0.35,58
Las Vegas,53700,0.42,61,0.32,42
Syracuse,50773,0.4,118,0.41,106
Albuq-Santa Fe,49964,0.4,114,0.4,103
Burlngtn-Pltbrg,48771,0.39,171,0.4,143
Buffalo,48431,0.38,26,0.32,54
Louisville,48211,0.38,64,0.29,59
Greensbro-HP-WS,47100,0.37,77,0.31,62
Oklahoma City,46970,0.37,87,0.3,68
Portland-Auburn,46591,0.37,111,0.35,93
Rochester NY,45143,0.36,87,0.32,81
Birmingham,45026,0.36,88,0.25,56
West Plm Bch-FP,43765,0.35,68,0.22,40
Jacksonville,42843,0.34,69,0.24,47
Springfld-Hlyok,41465,0.33,176,0.36,145
Tucson (S Vsta),41271,0.33,128,0.3,96
Des Moines-Ames,40478,0.32,112,0.25,75
Omaha,38951,0.31,100,0.24,71
Memphis,38480,0.3,79,0.23,59
Honolulu,37433,0.3,75,0.23,57
Champgn&Spr-Dec,37321,0.3,121,0.28,106
Lexington,36898,0.29,67,0.23,60
Cdr Rp-Wa-Ic&Db,35533,0.28,137,0.25,101
Roanoke-Lnchbrg,34785,0.28,107,0.21,74
Santabar-Sm-Slo,33980,0.27,194,0.26,149
Eugene,33407,0.26,207,0.28,151
Knoxville,33280,0.26,98,0.2,65
Dayton,32252,0.26,63,0.18,48
Spokane,32157,0.25,93,0.21,72
Wilkes Bar-Scr,31829,0.25,50,0.19,39
Litl Rck-Pn Blf,31059,0.25,67,0.16,47
Lansing,30247,0.24,128,0.19,92
