DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,838170,8.81,123,9.18,113
Los Angeles,687732,7.23,115,7.55,150
San Fran-Oak-SJ,608458,6.4,138,6,129
Wash DC (Hag),385088,4.05,104,3.61,102
Chicago,340373,3.58,120,3.61,116
Seattle-Tacoma,325829,3.43,193,3.7,186
Boston (Manchr),300209,3.16,155,3.18,117
Portland OR,245550,2.58,100,2.17,82
Philadelphia,244160,2.57,76,2.6,85
Dallas-Ft.Worth,206622,2.17,101,2.05,95
Atlanta,191640,2.01,88,1.93,88
Denver,178001,1.87,157,1.87,137
Mineapls-St. Pl,168354,1.77,147,1.78,121
Houston,156212,1.64,87,1.62,86
Phoenix,148283,1.56,97,1.68,113
Detroit,132032,1.39,107,1.46,100
San Diego,131055,1.38,158,1.42,153
Salt Lake City,126335,1.33,204,1.57,171
Austin,116201,1.22,201,1.48,210
Sacrmnto-Stk-Mo,111131,1.17,117,1.14,109
Raleigh-Dur(Fy),105203,1.11,91,1.06,89
Orl-Dytn B-Mlbn,105082,1.1,93,1.14,93
Tampa-St P(Sar),100235,1.05,71,0.98,68
Miami-Ft. Laude,99568,1.05,81,1,80
Baltimore,93976,0.99,116,1.02,106
Cleveland,92154,0.97,61,1,65
Pittsburgh,82630,0.87,95,0.93,99
St. Louis,82228,0.86,121,0.91,100
Hartfrd&Nw Havn,76627,0.81,121,0.81,97
Columbus OH,76375,0.8,43,0.82,75
Kansas City,76232,0.8,29,0.76,73
Indianapolis,68217,0.72,107,0.74,103
Charlotte,65166,0.69,70,0.61,64
Milwaukee,62952,0.66,88,0.66,85
Nashville,61830,0.65,98,0.63,86
Cincinnati,60442,0.64,74,0.64,80
Gr.Rapids-Kl-Bc,54823,0.58,132,0.55,105
Las Vegas,52465,0.55,79,0.57,74
Nrflk-Prt-Np Nw,45860,0.48,85,0.53,97
San Antonio,45483,0.48,76,0.47,78
Providnc-N. Bed,44136,0.46,110,0.47,94
Madison,43718,0.46,196,0.48,152
Harrsbg-La-Lb-Y,43668,0.46,66,0.46,61
Grvl-Spa-Ash-An,41763,0.44,112,0.42,86
Albany-Sch-Troy,41452,0.44,89,0.43,87
Richmond-Ptrsbg,40459,0.43,98,0.39,85
Albuq-Santa Fe,40230,0.42,123,0.44,114
Honolulu,39855,0.42,107,0.47,120
Oklahoma City,38349,0.4,94,0.42,93
West Plm Bch-FP,38201,0.4,79,0.39,72
Jacksonville,35303,0.37,75,0.35,68
Buffalo,34894,0.37,25,0.36,61
Rochester NY,34815,0.37,89,0.35,87
Burlngtn-Pltbrg,34401,0.36,160,0.33,116
Greensbro-HP-WS,32639,0.34,71,0.35,70
Louisville,32639,0.34,58,0.33,66
Tucson (S Vsta),32391,0.34,134,0.39,125
New Orleans,32005,0.34,87,0.31,77
Omaha,30215,0.32,104,0.33,98
Portland-Auburn,30147,0.32,96,0.29,78
Syracuse,29811,0.31,93,0.3,79
Spokane,29684,0.31,115,0.33,111
Des Moines-Ames,29420,0.31,108,0.31,93
Santabar-Sm-Slo,29345,0.31,224,0.31,182
Eugene,28148,0.3,232,0.28,153
Birmingham,27771,0.29,72,0.25,56
Fresno-Visalia,26804,0.28,93,0.26,84
Colo Sprngs-Pbl,25802,0.27,126,0.27,105
Wilkes Bar-Scr,25666,0.27,53,0.24,48
Boise,25625,0.27,148,0.27,119
Dayton,25496,0.27,66,0.25,66
Tulsa,25318,0.27,77,0.28,81
Roanoke-Lnchbrg,25196,0.26,103,0.59,214
Champgn&Spr-Dec,24925,0.26,107,0.26,96
Cdr Rp-Wa-Ic&Db,24825,0.26,127,0.26,104
Memphis,24373,0.26,66,0.24,63
Lexington,24285,0.26,59,0.27,69
Knoxville,24276,0.26,95,0.23,71
Monterey-Salnas,24085,0.25,224,0.27,194
Mobile-Pns(Fwb),22795,0.24,65,0.23,67
Litl Rck-Pn Blf,22450,0.24,64,0.21,59
Springfld-Hlyok,22418,0.24,126,0.24,96
Waco-Templ-Bryn,21337,0.22,70,0.21,75
Wichta-Htch Pls,21169,0.22,90,0.21,73
Green Bay-Apltn,21096,0.22,74,0.22,70
Flint-Sagnaw-BC,20969,0.22,90,0.23,80
