DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,290246,11.41,158,13.33,164
Los Angeles,175772,6.91,109,6.68,133
San Fran-Oak-SJ,134500,5.29,113,5.07,109
Wash DC (Hag),120532,4.74,121,4.86,136
Chicago,119599,4.7,157,4.73,151
Boston (Manchr),91357,3.59,176,3.79,139
Philadelphia,77474,3.05,89,3.08,100
Seattle-Tacoma,74887,2.94,165,3.05,152
Dallas-Ft.Worth,57416,2.26,105,2.2,100
Atlanta,54809,2.16,94,2.02,91
Houston,44955,1.77,94,1.84,97
Denver,44675,1.76,146,1.84,134
Mineapls-St. Pl,43788,1.72,142,1.65,111
Detroit,42710,1.68,128,1.84,125
Portland OR,38003,1.49,58,1.46,55
Austin,34576,1.36,221,1.33,189
Phoenix,33180,1.3,81,1.16,77
San Diego,31989,1.26,144,1.15,123
Raleigh-Dur(Fy),30248,1.19,98,1.2,99
Baltimore,28707,1.13,131,1.16,121
Cleveland,26324,1.04,64,0.95,61
Sacrmnto-Stk-Mo,25639,1.01,100,0.95,90
Miami-Ft. Laude,25316,1,77,0.91,71
Orl-Dytn B-Mlbn,24617,0.97,81,0.83,66
Tampa-St P(Sar),23946,0.94,63,0.83,56
Pittsburgh,23896,0.94,102,0.96,101
St. Louis,23796,0.94,130,0.98,107
Columbus OH,23122,0.91,48,0.9,81
Hartfrd&Nw Havn,22091,0.87,129,0.87,104
Kansas City,20936,0.82,29,0.84,80
Salt Lake City,20689,0.81,124,0.82,88
Indianapolis,20301,0.8,119,0.81,111
Charlotte,18447,0.73,74,0.66,68
Milwaukee,18136,0.71,94,0.72,92
Cincinnati,17523,0.69,79,0.65,81
Nashville,16935,0.67,100,0.6,80
Gr.Rapids-Kl-Bc,14765,0.58,131,0.56,106
Madison,12950,0.51,214,0.53,165
Harrsbg-La-Lb-Y,11899,0.47,66,0.48,64
Albany-Sch-Troy,11447,0.45,91,0.43,86
Richmond-Ptrsbg,11413,0.45,102,0.39,85
San Antonio,11382,0.45,70,0.39,63
Las Vegas,11318,0.45,63,0.44,56
Providnc-N. Bed,11116,0.44,103,0.44,87
Grvl-Spa-Ash-An,10567,0.42,104,0.44,89
Nrflk-Prt-Np Nw,10292,0.4,70,0.35,64
Syracuse,9827,0.39,113,0.4,104
New Orleans,9822,0.39,98,0.37,91
Buffalo,9602,0.38,25,0.32,53
Oklahoma City,9500,0.37,86,0.37,83
Louisville,9096,0.36,59,0.35,69
Rochester NY,9055,0.36,86,0.35,87
West Plm Bch-FP,9001,0.35,68,0.33,60
Albuq-Santa Fe,8960,0.35,101,0.33,85
Honolulu,8903,0.35,88,0.33,82
Jacksonville,8862,0.35,70,0.29,56
Omaha,8402,0.33,106,0.31,92
Greensbro-HP-WS,8263,0.32,66,0.31,63
Birmingham,8116,0.32,78,0.29,65
Tucson (S Vsta),7753,0.3,119,0.33,105
Des Moines-Ames,7646,0.3,104,0.28,83
Burlngtn-Pltbrg,7331,0.29,125,0.29,102
Memphis,7181,0.28,72,0.24,60
Champgn&Spr-Dec,7081,0.28,113,0.25,91
Portland-Auburn,7074,0.28,83,0.27,72
Dayton,6992,0.27,66,0.25,64
Lexington,6917,0.27,62,0.25,64
Cdr Rp-Wa-Ic&Db,6454,0.25,121,0.29,114
Roanoke-Lnchbrg,6439,0.25,97,0.25,87
Santabar-Sm-Slo,6205,0.24,173,0.27,157
Knoxville,6123,0.24,88,0.22,68
Springfld-Hlyok,5830,0.23,121,0.21,85
Tulsa,5821,0.23,65,0.24,69
Litl Rck-Pn Blf,5755,0.23,61,0.2,57
Wilkes Bar-Scr,5601,0.22,43,0.22,44
Spokane,5572,0.22,79,0.21,72
Colo Sprngs-Pbl,5476,0.22,99,0.22,85
Lansing,5336,0.21,110,0.22,107
Fresno-Visalia,5306,0.21,68,0.16,50
Wichta-Htch Pls,5016,0.2,79,0.23,80
Green Bay-Apltn,4954,0.19,64,0.17,55
Eugene,4925,0.19,149,0.17,93
Waco-Templ-Bryn,4918,0.19,59,0.23,80
Johnstown-Altna,4913,0.19,95,0.18,75
Monterey-Salnas,4864,0.19,166,0.17,117
Mobile-Pns(Fwb),4834,0.19,50,0.17,49
Toledo,4805,0.19,49,0.16,45
Columbia SC,4641,0.18,57,0.23,76
Hntvle-Dctr(FL),4616,0.18,92,0.2,84
Flint-Sagnaw-BC,4598,0.18,73,0.15,53
Charleston SC,4534,0.18,75,0.17,73
Ft. Myers-Napls,4437,0.17,43,0.16,37
Boise,4419,0.17,93,0.15,64
So. Bend-Elkhrt,4353,0.17,78,0.16,66
Tallhsee-Thmsvl,4303,0.17,88,0.17,85
Charlottesville,4076,0.16,154,0.16,144
Lin&Hst-Krny,4053,0.16,67,0.15,62
Reno,4044,0.16,112,0.15,81
Peoria-Blmingtn,3985,0.16,77,0.14,67
Springfield MO,3851,0.15,56,0.13,50
Ft Smh-Fy-Sp-Rg,3758,0.15,82,0.16,87
Baton Rouge,3688,0.15,65,0.14,64
Gainesville,3663,0.14,119,0.14,115
Davnprt-Ri-Mlne,3624,0.14,69,0.12,56
Fargo-Vally Cty,3572,0.14,100,0.14,76
Chattanooga,3554,0.14,68,0.18,85
Jackson MS,3456,0.14,67,0.11,57
Columbia-Jf Cty,3432,0.13,113,0.13,102
Sioux Fls(Mchl),3320,0.13,74,0.12,58
Savannah,3200,0.13,55,0.1,45
La Crss-Eau Clr,3173,0.12,81,0.1,55
Anchorage,3157,0.12,116,0.11,81
Charlstn-Huntng,3052,0.12,34,0.13,45
Pdch-Cg-Har-Mtv,2853,0.11,55,0.15,76
Augusta,2835,0.11,69,0.08,49
El Paso,2823,0.11,56,0.13,78
Yakm-Psc-Rch-Kn,2676,0.11,100,0.09,69
Topeka,2642,0.1,83,0.1,77
Ft. Wayne,2576,0.1,58,0.09,52
Greenvl-NB-Wash,2435,0.1,44,0.08,41
Rch-Masn Cy-Aus,2317,0.09,115,0.09,87
Hrlg-Wsl-Brn-Ma,2235,0.09,44,0.1,59
Travrs Cty-Cdlc,2220,0.09,68,0.06,51
Rockford,2192,0.09,67,0.07,59
Evansville,2163,0.09,47,0.07,43
Wilmington,2156,0.08,58,0.12,85
Tri-Cties TN-VA,2092,0.08,55,0.07,43
Lubbock,2086,0.08,78,0.08,78
Lafayette IN,2079,0.08,158,0.11,169
Chico-Redding,2072,0.08,86,0.06,56
Bakersfield,2061,0.08,65,0.07,59
Columbus GA,2009,0.08,73,0.07,58
Youngstown,1918,0.08,46,0.06,41
Flrnce-Mrtl Bch,1918,0.08,36,0.07,34
Binghamton,1913,0.08,56,0.11,88
Medford-Klm Fls,1904,0.07,96,0.07,76
Lafayette LA,1891,0.07,51,0.07,48
Palm Springs,1856,0.07,56,0.06,53
Shreveport,1854,0.07,33,0.06,34
Macon,1811,0.07,34,0.07,43
Tyler-Longview,1800,0.07,40,0.06,38
Wausau-Rhineldr,1709,0.07,71,0.07,60
Missoula,1704,0.07,108,0.06,73
Erie,1677,0.07,44,0.07,50
Montgomery(Sel),1670,0.07,53,0.05,38
Duluth-Superior,1632,0.06,82,0.06,68
Bangor,1577,0.06,69,0.04,42
Harrisonburg,1521,0.06,108,0.05,66
Salisbury,1500,0.06,57,0.05,38
Amarillo,1496,0.06,41,0.04,36
Minot-Bsmrk-Dkn,1491,0.06,47,0.06,47
Corpus Christi,1432,0.06,44,0.05,39
Utica,1282,0.05,60,0.04,43
Idaho Falls-Poc,1230,0.05,79,0.04,52
Odessa-Midland,1207,0.05,46,0.04,43
Butte-Bozeman,1205,0.05,151,0.04,95
Billings,1173,0.05,85,0.04,69
Sioux City,1171,0.05,56,0.04,39
Columbus-Tup-Wp,1123,0.04,56,0.04,47
Joplin-Pittsbrg,1069,0.04,58,0.03,35
Wichta Fls&Lwtn,1064,0.04,46,0.07,84
Panama City,1060,0.04,42,0.03,31
Monro-El Dorado,1030,0.04,39,0.03,37
Watertown,1028,0.04,56,0.04,60
Marquette,1012,0.04,100,0.04,68
Biloxi-Gulfport,976,0.04,40,0.02,26
Rapid City,969,0.04,74,0.04,57
Terre Haute,965,0.04,58,0.04,64
Beaumnt-Prt Art,958,0.04,29,0.04,42
Bend OR,953,0.04,181,0.04,118
