DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,834932,8.63,120,8.84,109
Los Angeles,734732,7.59,120,8.62,172
San Fran-Oak-SJ,466933,4.83,104,5.29,113
Chicago,361948,3.74,125,3.68,118
Wash DC (Hag),332130,3.43,88,3.43,97
Seattle-Tacoma,306593,3.17,179,3.91,197
Boston (Manchr),283971,2.93,144,2.96,109
Philadelphia,268237,2.77,82,2.55,83
Dallas-Ft.Worth,209703,2.17,100,2.31,106
Atlanta,192362,1.99,87,1.9,87
Houston,171200,1.77,94,1.79,95
Mineapls-St. Pl,159765,1.65,137,1.58,108
Portland OR,147614,1.53,60,1.56,59
Phoenix,146246,1.51,94,1.62,109
Denver,145315,1.5,125,1.42,104
Detroit,144186,1.49,115,1.4,96
San Diego,135299,1.4,161,1.5,162
Orl-Dytn B-Mlbn,129826,1.34,113,1.44,117
Sacrmnto-Stk-Mo,127144,1.31,132,1.27,121
Austin,117363,1.21,198,1.53,218
Tampa-St P(Sar),112524,1.16,78,1.09,75
Miami-Ft. Laude,111069,1.15,89,1.18,94
Raleigh-Dur(Fy),109071,1.13,93,1.14,96
Cleveland,105200,1.09,67,1.06,69
Baltimore,101926,1.05,123,1.09,114
Salt Lake City,101055,1.04,161,1.05,114
St. Louis,87396,0.9,126,0.87,96
Pittsburgh,86555,0.89,98,0.87,92
Columbus OH,85252,0.88,48,0.81,74
Hartfrd&Nw Havn,80813,0.84,125,0.75,91
Indianapolis,75633,0.78,117,0.74,103
Kansas City,72849,0.75,27,0.73,70
Charlotte,68468,0.71,72,0.64,67
Milwaukee,67274,0.7,93,0.64,83
Nashville,66304,0.69,104,0.61,83
Cincinnati,64582,0.67,77,0.58,73
Las Vegas,63186,0.65,94,0.65,85
Gr.Rapids-Kl-Bc,63034,0.65,148,0.58,112
San Antonio,54657,0.56,90,0.56,93
Nrflk-Prt-Np Nw,52762,0.55,96,0.5,91
Harrsbg-La-Lb-Y,50142,0.52,74,0.45,60
Providnc-N. Bed,49652,0.51,122,0.46,93
Honolulu,45815,0.47,121,0.5,126
Albany-Sch-Troy,43890,0.45,92,0.41,82
Madison,43489,0.45,192,0.47,148
Oklahoma City,42837,0.44,104,0.55,123
Richmond-Ptrsbg,42810,0.44,102,0.45,98
Buffalo,42544,0.44,30,0.4,67
Grvl-Spa-Ash-An,42253,0.44,112,0.38,79
Jacksonville,40524,0.42,85,0.41,80
Louisville,39170,0.4,68,0.38,76
Albuq-Santa Fe,37705,0.39,113,0.38,98
West Plm Bch-FP,36727,0.38,74,0.35,65
Rochester NY,36585,0.38,92,0.38,96
New Orleans,34727,0.36,93,0.36,90
Greensbro-HP-WS,34264,0.35,73,0.3,60
Fresno-Visalia,33916,0.35,115,0.32,104
Syracuse,33721,0.35,103,0.31,81
Tucson (S Vsta),33179,0.34,135,0.32,104
Birmingham,32296,0.33,83,0.29,65
Wilkes Bar-Scr,32022,0.33,66,0.3,61
Lexington,31791,0.33,76,0.29,77
Omaha,31146,0.32,104,0.31,92
Des Moines-Ames,30957,0.32,112,0.28,84
Dayton,30686,0.32,78,0.32,84
Spokane,30363,0.31,116,0.35,119
Portland-Auburn,30236,0.31,95,0.26,70
Knoxville,29218,0.3,113,0.27,85
Roanoke-Lnchbrg,28992,0.3,116,0.28,101
Champgn&Spr-Dec,28823,0.3,122,0.48,180
Burlngtn-Pltbrg,28790,0.3,131,0.3,105
Memphis,28134,0.29,75,0.24,64
Colo Sprngs-Pbl,27255,0.28,131,0.26,100
Waco-Templ-Bryn,26910,0.28,87,0.23,80
Mobile-Pns(Fwb),26820,0.28,75,0.26,74
Litl Rck-Pn Blf,26566,0.27,75,0.34,97
Flint-Sagnaw-BC,26395,0.27,112,0.22,75
Eugene,26370,0.27,214,0.24,131
Tulsa,26111,0.27,79,0.26,74
Cdr Rp-Wa-Ic&Db,25795,0.27,130,0.25,99
Toledo,25666,0.27,70,0.24,69
Santabar-Sm-Slo,24807,0.26,185,0.23,133
Springfld-Hlyok,23964,0.25,133,0.23,93
Green Bay-Apltn,23456,0.24,81,0.18,59
Lansing,23402,0.24,129,0.2,97
Wichta-Htch Pls,22862,0.24,96,0.2,71
Johnstown-Altna,22571,0.23,117,0.2,82
Boise,22046,0.23,125,0.21,93
Ft. Myers-Napls,21182,0.22,55,0.19,45
Springfield MO,21165,0.22,83,0.21,81
Monterey-Salnas,20471,0.21,188,0.19,139
Charlstn-Huntng,20229,0.21,61,0.18,64
Columbia SC,20172,0.21,67,0.24,79
Reno,19821,0.2,148,0.2,109
So. Bend-Elkhrt,19538,0.2,94,0.17,74
Charleston SC,19033,0.2,84,0.17,78
Tallhsee-Thmsvl,18898,0.2,103,0.2,101
Hntvle-Dctr(FL),18381,0.19,97,0.19,81
Gainesville,18361,0.19,160,0.16,134
Chattanooga,18077,0.19,93,0.15,72
Lin&Hst-Krny,18003,0.19,80,0.15,62
El Paso,17819,0.18,97,0.17,107
Ft Smh-Fy-Sp-Rg,17736,0.18,103,0.15,86
Savannah,17679,0.18,83,0.16,71
Peoria-Blmingtn,17261,0.18,89,0.14,72
Baton Rouge,17085,0.18,81,0.18,83
Pdch-Cg-Har-Mtv,16672,0.17,88,0.14,74
Davnprt-Ri-Mlne,16662,0.17,85,0.15,70
Anchorage,16617,0.17,165,0.16,118
Hrlg-Wsl-Brn-Ma,16505,0.17,88,0.18,105
Fargo-Vally Cty,16328,0.17,122,0.17,92
La Crss-Eau Clr,15567,0.16,107,0.13,76
Yakm-Psc-Rch-Kn,14365,0.15,145,0.13,105
Sioux Fls(Mchl),14236,0.15,85,0.14,71
Augusta,13403,0.14,87,0.11,68
Tri-Cties TN-VA,13340,0.14,96,0.1,66
Greenvl-NB-Wash,13141,0.14,64,0.12,60
Ft. Wayne,13049,0.13,79,0.12,69
Chico-Redding,13022,0.13,147,0.11,101
Columbia-Jf Cty,12960,0.13,114,0.11,85
Bakersfield,12586,0.13,107,0.14,115
Evansville,11800,0.12,70,0.11,67
Charlottesville,11785,0.12,119,0.09,75
Topeka,11756,0.12,100,0.12,88
Jackson MS,11305,0.12,59,0.09,51
Travrs Cty-Cdlc,11106,0.11,93,0.09,75
Youngstown,10808,0.11,71,0.1,65
Shreveport,10765,0.11,52,0.11,55
Tyler-Longview,10487,0.11,64,0.1,66
Medford-Klm Fls,10228,0.11,139,0.1,104
Rockford,10151,0.1,84,0.09,73
Wausau-Rhineldr,10126,0.1,114,0.09,79
Columbus GA,10006,0.1,97,0.09,75
Macon,9949,0.1,51,0.09,53
Lafayette LA,9830,0.1,72,0.09,71
Lafayette IN,9810,0.1,202,0.09,140
Lubbock,9800,0.1,98,0.1,101
Wilmington,9691,0.1,70,0.09,61
Corpus Christi,9633,0.1,80,0.09,84
Binghamton,9439,0.1,74,0.08,69
Flrnce-Mrtl Bch,9235,0.1,46,0.08,45
Bangor,9004,0.09,107,0.16,156
Erie,8807,0.09,63,0.07,56
Rch-Masn Cy-Aus,8775,0.09,118,0.08,78
Duluth-Superior,8046,0.08,110,0.07,82
Montgomery(Sel),7959,0.08,68,0.07,56
Minot-Bsmrk-Dkn,7837,0.08,66,0.07,52
Missoula,7805,0.08,134,0.07,85
Amarillo,7713,0.08,58,0.08,65
Palm Springs,7578,0.08,62,0.09,83
Harrisonburg,6869,0.07,133,0.06,84
Idaho Falls-Poc,6770,0.07,120,0.06,87
Biloxi-Gulfport,6693,0.07,75,0.05,60
Panama City,6521,0.07,70,0.06,57
Utica,6451,0.07,82,0.05,63
Marquette,6446,0.07,174,0.05,93
Sioux City,6076,0.06,78,0.05,47
Watertown,6023,0.06,90,0.05,70
Salisbury,5969,0.06,62,0.05,42
Wichta Fls&Lwtn,5949,0.06,72,0.06,78
Joplin-Pittsbrg,5725,0.06,86,0.05,64
Odessa-Midland,5717,0.06,59,0.06,67
Terre Haute,5680,0.06,94,0.06,102
Beaumnt-Prt Art,5605,0.06,47,0.05,48
Abilene-Swtwatr,5531,0.06,73,0.05,70
Monro-El Dorado,5478,0.06,57,0.06,75
Butte-Bozeman,5332,0.06,182,0.05,115
Rapid City,5277,0.05,110,0.05,82
Yuma-El Centro,5162,0.05,81,0.05,104
Blfld-Beckly-OH,5011,0.05,57,0.04,54
Columbus-Tup-Wp,4906,0.05,66,0.05,66
Billings,4769,0.05,94,0.04,62
Sherman-Ada,4608,0.05,69,0.04,60
Clarksburg-Wstn,4334,0.04,46,0.03,41
Elmira,4314,0.04,54,0.04,47
Hatiesbrg-Laurl,4160,0.04,81,0.04,81
Mankato,4083,0.04,164,0.04,114
Wheeling-Steub.,4065,0.04,58,0.05,77
Jonesboro,4055,0.04,63,0.03,54
Bowling Green,3966,0.04,73,0.04,75
Albany GA,3914,0.04,27,0.03,27
Eureka,3856,0.04,160,0.03,121
Dothan,3702,0.04,51,0.03,48
Quincy-Hbl-Keok,3690,0.04,84,0.03,62
Bend OR,3672,0.04,191,0.04,113
Fairbanks,3486,0.04,175,0.03,132
Alexandria LA,3297,0.03,49,0.03,47
Laredo,3060,0.03,73,0.03,76
Lake Charles,2968,0.03,59,0.03,62
Jackson TN,2946,0.03,66,0.03,59
Gr.Jnctn-Mntros,2923,0.03,102,0.02,65
Twin Falls,2913,0.03,104,0.02,55
Lima,2859,0.03,50,0.02,41
Parkersburg,2767,0.03,58,0.02,58
Ottumwa-Kirksvl,2687,0.03,79,0.02,54
Great Falls,2684,0.03,118,0.02,70
Chey-Sctts,2458,0.03,94,0.02,58
Casper-Riverton,2172,0.02,93,0.02,70
St. Joseph,2090,0.02,75,0.03,103
Juneau,1963,0.02,148,0.03,151
San Angelo,1956,0.02,70,0.02,71
Zanesville,1587,0.02,53,0.01,43
Helena,1503,0.02,135,0.02,113
Meridian,1381,0.01,46,0.01,56
Victoria,1187,0.01,68,0.01,70
Presque Isle,1144,0.01,56,-,46
Greenwd-Greenvl,1105,0.01,41,-,40
Alpena,508,-,103,-,76
North Platte,460,-,69,-,33
Glendive,97,-,66,-,13
