DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1290416,8.45,118,9.15,112
Los Angeles,972838,6.37,101,6.61,132
San Fran-Oak-SJ,780474,5.11,110,5.2,112
Chicago,582493,3.81,128,4.07,130
Wash DC (Hag),576089,3.77,97,4.15,117
Boston (Manchr),467275,3.06,150,3.31,122
Philadelphia,430861,2.82,83,2.84,93
Seattle-Tacoma,408714,2.68,151,2.83,143
Dallas-Ft.Worth,374253,2.45,115,2.52,116
Atlanta,355863,2.33,103,2.32,105
Houston,290194,1.9,102,1.93,102
Denver,282255,1.85,155,1.9,140
Mineapls-St. Pl,268166,1.76,146,1.83,124
Phoenix,235915,1.54,96,1.48,99
Detroit,230181,1.51,116,1.53,105
Portland OR,220205,1.44,57,1.47,55
San Diego,201682,1.32,152,1.35,146
Raleigh-Dur(Fy),188879,1.24,102,1.29,108
Tampa-St P(Sar),182227,1.19,81,1.08,74
Orl-Dytn B-Mlbn,179933,1.18,99,1.14,93
Sacrmnto-Stk-Mo,179563,1.18,118,1.1,105
Austin,178256,1.17,192,1.3,185
Miami-Ft. Laude,176346,1.15,90,1.08,86
Salt Lake City,171925,1.13,173,1.09,119
Cleveland,171425,1.12,70,1.06,69
Baltimore,159008,1.04,122,1.09,114
St. Louis,151113,0.99,138,0.99,109
Pittsburgh,139060,0.91,100,0.93,98
Columbus OH,135512,0.89,48,0.93,85
Charlotte,130174,0.85,87,0.79,83
Hartfrd&Nw Havn,128220,0.84,126,0.88,106
Kansas City,126815,0.83,30,0.85,81
Indianapolis,124617,0.82,122,0.8,111
Nashville,115429,0.76,114,0.72,98
Milwaukee,109835,0.72,96,0.71,92
Cincinnati,106420,0.7,81,0.68,85
Gr.Rapids-Kl-Bc,103436,0.68,155,0.7,133
San Antonio,81003,0.53,84,0.49,82
Las Vegas,79854,0.52,75,0.47,61
Harrsbg-La-Lb-Y,79042,0.52,74,0.51,68
Grvl-Spa-Ash-An,77574,0.51,130,0.48,97
Nrflk-Prt-Np Nw,73753,0.48,85,0.44,80
Richmond-Ptrsbg,71006,0.46,107,0.46,99
Madison,68554,0.45,191,0.49,155
West Plm Bch-FP,67861,0.44,87,0.39,71
Albany-Sch-Troy,67507,0.44,90,0.42,84
Providnc-N. Bed,67075,0.44,104,0.43,85
Oklahoma City,66984,0.44,103,0.42,94
Jacksonville,65077,0.43,87,0.41,80
Louisville,63723,0.42,71,0.38,76
Albuq-Santa Fe,62857,0.41,120,0.4,102
Greensbro-HP-WS,61315,0.4,83,0.36,73
Buffalo,61083,0.4,27,0.37,62
Honolulu,60385,0.4,101,0.43,107
Rochester NY,58810,0.39,94,0.37,93
Birmingham,57826,0.38,94,0.36,78
Tucson (S Vsta),53395,0.35,138,0.35,112
New Orleans,53023,0.35,90,0.34,84
Des Moines-Ames,52679,0.34,121,0.35,104
Omaha,51399,0.34,110,0.35,103
Memphis,50513,0.33,86,0.3,78
Syracuse,49050,0.32,95,0.31,80
Dayton,47068,0.31,76,0.3,77
Knoxville,46963,0.31,116,0.29,91
Portland-Auburn,46501,0.3,93,0.28,75
Spokane,45917,0.3,112,0.27,90
Roanoke-Lnchbrg,45612,0.3,117,0.28,100
Litl Rck-Pn Blf,45340,0.3,81,0.28,80
Burlngtn-Pltbrg,45163,0.3,130,0.27,97
Lexington,44609,0.29,67,0.28,73
Champgn&Spr-Dec,43937,0.29,119,0.28,106
Wilkes Bar-Scr,43812,0.29,57,0.24,50
Tulsa,43781,0.29,83,0.26,75
Colo Sprngs-Pbl,43302,0.28,132,0.26,101
Fresno-Visalia,42555,0.28,92,0.24,76
Cdr Rp-Wa-Ic&Db,42425,0.28,135,0.28,112
Mobile-Pns(Fwb),42218,0.28,75,0.24,67
Santabar-Sm-Slo,41316,0.27,197,0.26,151
Ft. Myers-Napls,39534,0.26,65,0.2,50
Wichta-Htch Pls,39097,0.26,105,0.24,84
Green Bay-Apltn,38880,0.25,85,0.22,73
Waco-Templ-Bryn,38552,0.25,79,0.22,79
Boise,38189,0.25,137,0.23,102
Flint-Sagnaw-BC,37001,0.24,101,0.21,72
Toledo,35877,0.23,62,0.21,60
Columbia SC,35738,0.23,75,0.22,72
Eugene,35356,0.23,182,0.21,111
Springfield MO,35007,0.23,88,0.2,78
Springfld-Hlyok,34126,0.22,120,0.22,87
Johnstown-Altna,34105,0.22,112,0.21,88
Lansing,34049,0.22,119,0.21,99
Hntvle-Dctr(FL),33605,0.22,113,0.22,93
Charleston SC,32253,0.21,91,0.21,93
Monterey-Salnas,31253,0.2,181,0.2,140
So. Bend-Elkhrt,31065,0.2,96,0.19,79
Chattanooga,30204,0.2,100,0.19,92
Lin&Hst-Krny,29830,0.2,85,0.18,76
Reno,29571,0.19,141,0.17,96
Tallhsee-Thmsvl,28908,0.19,100,0.18,93
Ft Smh-Fy-Sp-Rg,28401,0.19,104,0.18,98
Peoria-Blmingtn,27652,0.18,91,0.17,85
Baton Rouge,27436,0.18,83,0.16,76
Savannah,25940,0.17,78,0.14,61
Davnprt-Ri-Mlne,25584,0.17,84,0.14,68
Charlstn-Huntng,25026,0.16,48,0.13,46
Gainesville,24917,0.16,138,0.16,130
Fargo-Vally Cty,24863,0.16,119,0.15,86
Pdch-Cg-Har-Mtv,24775,0.16,83,0.14,71
Sioux Fls(Mchl),24382,0.16,92,0.14,74
La Crss-Eau Clr,23719,0.16,104,0.13,75
Jackson MS,23370,0.15,77,0.14,78
Anchorage,22791,0.15,144,0.14,102
Augusta,21721,0.14,90,0.13,78
El Paso,21414,0.14,74,0.13,79
Yakm-Psc-Rch-Kn,21039,0.14,135,0.13,108
Columbia-Jf Cty,20600,0.13,116,0.14,110
Charlottesville,20493,0.13,132,0.14,122
Greenvl-NB-Wash,20383,0.13,63,0.1,50
Ft. Wayne,19709,0.13,77,0.11,64
Topeka,18988,0.12,103,0.11,86
Hrlg-Wsl-Brn-Ma,18974,0.12,64,0.1,61
Tri-Cties TN-VA,18837,0.12,86,0.1,64
Travrs Cty-Cdlc,18606,0.12,98,0.1,77
Evansville,18606,0.12,71,0.11,66
Chico-Redding,18169,0.12,131,0.11,96
Tyler-Longview,17753,0.12,69,0.1,66
Shreveport,17399,0.11,54,0.1,52
Wilmington,17336,0.11,80,0.09,67
Flrnce-Mrtl Bch,16273,0.11,52,0.09,46
Youngstown,16101,0.11,68,0.09,58
Macon,16010,0.1,52,0.09,58
Rch-Masn Cy-Aus,15692,0.1,134,0.1,104
Columbus GA,15645,0.1,97,0.09,76
Rockford,15622,0.1,82,0.09,74
Medford-Klm Fls,15552,0.1,135,0.09,90
Bakersfield,15452,0.1,84,0.09,74
Wausau-Rhineldr,15213,0.1,109,0.09,80
Lafayette LA,15173,0.1,71,0.09,66
Lubbock,14992,0.1,96,0.09,90
Lafayette IN,14254,0.09,186,0.09,137
Missoula,13968,0.09,153,0.08,97
Binghamton,13824,0.09,69,0.09,71
Duluth-Superior,13531,0.09,117,0.08,94
Montgomery(Sel),13359,0.09,73,0.08,64
Erie,13284,0.09,61,0.08,65
Bangor,13191,0.09,100,0.07,72
Palm Springs,12470,0.08,65,0.07,64
Amarillo,12370,0.08,60,0.07,60
Idaho Falls-Poc,12126,0.08,137,0.07,101
Minot-Bsmrk-Dkn,11812,0.08,63,0.07,56
Corpus Christi,11784,0.08,63,0.06,52
