DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,642860,8.23,115,8.71,107
Los Angeles,384176,4.92,78,5.28,105
Wash DC (Hag),346420,4.44,114,4.17,118
Chicago,275975,3.54,118,3.37,108
San Fran-Oak-SJ,265336,3.4,73,3.19,68
Philadelphia,246586,3.16,93,3.22,105
Boston (Manchr),226941,2.91,142,2.82,104
Seattle-Tacoma,197686,2.53,143,2.62,132
Dallas-Ft.Worth,173250,2.22,103,2.4,111
Atlanta,167174,2.14,94,2.11,96
Denver,157403,2.02,169,2.08,153
Houston,137178,1.76,93,1.58,84
Phoenix,131709,1.69,105,2,134
Mineapls-St. Pl,127767,1.64,136,1.63,111
Detroit,117977,1.51,116,1.5,103
Tampa-St P(Sar),117153,1.5,101,1.39,95
Portland OR,103713,1.33,52,1.43,54
Miami-Ft. Laude,97828,1.25,97,1.27,101
Raleigh-Dur(Fy),91793,1.18,97,1.07,90
Orl-Dytn B-Mlbn,91337,1.17,98,1.2,97
Cleveland,88985,1.14,71,1.09,71
San Diego,88291,1.13,130,1.22,132
Baltimore,86571,1.11,130,1.11,116
Sacrmnto-Stk-Mo,86518,1.11,111,1.17,112
St. Louis,84868,1.09,152,1.12,123
Hartfrd&Nw Havn,74643,0.96,144,0.99,119
Austin,71358,0.91,150,0.89,127
Charlotte,69998,0.9,92,0.83,87
Pittsburgh,69492,0.89,98,0.78,83
Columbus OH,67472,0.86,47,0.8,72
Kansas City,66698,0.85,31,0.87,84
Milwaukee,63461,0.81,109,0.76,99
Indianapolis,62897,0.81,121,0.81,112
Salt Lake City,60470,0.77,119,0.77,84
Nashville,58940,0.75,114,0.69,94
Cincinnati,57974,0.74,86,0.72,91
Nrflk-Prt-Np Nw,52977,0.68,120,0.68,124
West Plm Bch-FP,49739,0.64,125,0.71,129
Harrsbg-La-Lb-Y,47809,0.61,88,0.6,80
Albany-Sch-Troy,44705,0.57,117,0.57,114
Richmond-Ptrsbg,44557,0.57,131,0.6,131
Providnc-N. Bed,43562,0.56,132,0.53,106
Las Vegas,43290,0.55,79,0.64,83
Albuq-Santa Fe,42624,0.55,159,0.6,154
Grvl-Spa-Ash-An,42171,0.54,137,0.51,104
Gr.Rapids-Kl-Bc,41999,0.54,123,0.48,93
San Antonio,40913,0.52,83,0.58,96
Madison,39018,0.5,212,0.46,145
Louisville,38010,0.49,83,0.47,94
Oklahoma City,37172,0.48,112,0.54,119
Greensbro-HP-WS,36248,0.46,96,0.44,88
Tucson (S Vsta),35227,0.45,178,0.55,178
Jacksonville,34634,0.44,90,0.43,84
Buffalo,32665,0.42,29,0.37,63
Portland-Auburn,32340,0.41,125,0.39,105
Memphis,32081,0.41,107,0.42,108
Ft. Myers-Napls,31575,0.4,103,0.43,102
Omaha,31524,0.4,131,0.46,136
Colo Sprngs-Pbl,31155,0.4,186,0.33,129
Birmingham,30730,0.39,98,0.36,80
Boise,29315,0.38,206,0.27,119
New Orleans,29021,0.37,97,0.33,82
Rochester NY,28172,0.36,88,0.41,102
Des Moines-Ames,27668,0.35,124,0.33,99
Honolulu,27085,0.35,88,0.41,104
Burlngtn-Pltbrg,26923,0.34,152,0.36,127
Wichta-Htch Pls,26799,0.34,140,0.35,122
Syracuse,26574,0.34,100,0.34,89
Wilkes Bar-Scr,26532,0.34,68,0.33,67
Cdr Rp-Wa-Ic&Db,26001,0.33,162,0.35,140
Dayton,25601,0.33,81,0.36,93
Litl Rck-Pn Blf,25473,0.33,89,0.29,82
Spokane,25283,0.32,119,0.36,121
Tulsa,24392,0.31,91,0.29,84
Lexington,23585,0.3,70,0.26,68
Green Bay-Apltn,23430,0.3,99,0.3,97
Mobile-Pns(Fwb),23207,0.3,81,0.27,76
Knoxville,22738,0.29,109,0.28,88
Roanoke-Lnchbrg,22652,0.29,112,0.29,103
Champgn&Spr-Dec,22212,0.28,116,0.27,100
