DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,906165,9.13,127,8.81,108
Los Angeles,530528,5.34,85,5.42,108
Wash DC (Hag),364498,3.67,94,3.35,95
Chicago,357350,3.6,121,3.35,107
Boston (Manchr),298687,3.01,147,2.84,105
San Fran-Oak-SJ,294169,2.96,64,2.72,58
Philadelphia,285485,2.88,85,2.71,88
Seattle-Tacoma,240859,2.43,137,2.18,109
Dallas-Ft.Worth,208584,2.1,97,2,92
Atlanta,201736,2.03,90,2.01,91
Phoenix,194036,1.95,122,1.89,127
Mineapls-St. Pl,179793,1.81,150,1.98,134
Houston,170016,1.71,91,1.64,87
Denver,159555,1.61,134,1.64,120
Tampa-St P(Sar),137336,1.38,93,1.27,88
Detroit,134785,1.36,104,1.35,92
Portland OR,132989,1.34,53,1.36,51
Miami-Ft. Laude,120049,1.21,94,1.1,87
Orl-Dytn B-Mlbn,118581,1.19,100,1.19,97
Cleveland,116259,1.17,72,1.18,77
San Diego,109596,1.1,127,1.05,114
Salt Lake City,106563,1.07,165,1.26,137
Hartfrd&Nw Havn,106344,1.07,161,1,121
Sacrmnto-Stk-Mo,104750,1.06,106,1.04,99
Raleigh-Dur(Fy),104618,1.05,87,1.07,90
Pittsburgh,104041,1.05,115,0.99,105
Baltimore,103917,1.05,123,1.03,108
St. Louis,102510,1.03,144,1.07,118
Columbus OH,93142,0.94,51,0.87,79
Austin,86387,0.87,143,0.8,114
Indianapolis,84673,0.85,128,0.92,128
Charlotte,83737,0.84,87,0.86,90
Nashville,80790,0.81,123,0.8,109
Kansas City,77573,0.78,28,0.75,72
Milwaukee,73931,0.74,100,0.76,98
Cincinnati,71345,0.72,83,0.74,93
Harrsbg-La-Lb-Y,68456,0.69,99,0.82,110
Providnc-N. Bed,60928,0.61,146,0.63,126
Grvl-Spa-Ash-An,58857,0.59,152,0.63,130
Gr.Rapids-Kl-Bc,58138,0.59,134,0.62,117
Albany-Sch-Troy,57156,0.58,118,0.54,108
Des Moines-Ames,55655,0.56,197,0.54,160
Nrflk-Prt-Np Nw,55339,0.56,99,0.57,105
Las Vegas,52593,0.53,76,0.55,71
San Antonio,49648,0.5,79,0.5,84
Buffalo,48575,0.49,34,0.48,81
West Plm Bch-FP,48177,0.49,95,0.46,84
Greensbro-HP-WS,47538,0.48,99,0.5,100
Richmond-Ptrsbg,46899,0.47,109,0.45,97
Oklahoma City,46433,0.47,110,0.52,116
Jacksonville,46307,0.47,95,0.43,84
Louisville,44987,0.45,77,0.47,93
Portland-Auburn,43699,0.44,133,0.48,131
Albuq-Santa Fe,41884,0.42,123,0.46,118
Omaha,41742,0.42,137,0.45,132
