DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,2288744,7.29,102,7.25,89
Philadelphia,1334175,4.25,125,3.48,114
Los Angeles,1301922,4.15,66,4.43,88
Boston (Manchr),1240859,3.95,195,3.18,117
Chicago,1222814,3.9,131,3.48,111
Wash DC (Hag),1215756,3.87,99,3.87,109
San Fran-Oak-SJ,1000235,3.19,69,2.59,56
Seattle-Tacoma,953591,3.04,172,3.28,165
Denver,737251,2.35,197,2.6,191
Atlanta,688968,2.19,97,1.8,82
Mineapls-St. Pl,579462,1.85,154,1.77,120
Dallas-Ft.Worth,576544,1.84,86,2.4,111
Detroit,545551,1.74,135,1.45,99
Houston,539216,1.72,92,1.61,85
Portland OR,478194,1.52,60,1.51,57
Phoenix,472287,1.5,94,1.94,130
Baltimore,438906,1.4,164,1.32,138
Tampa-St P(Sar),411279,1.31,89,1.32,91
Pittsburgh,385947,1.23,135,0.97,103
Sacrmnto-Stk-Mo,385293,1.23,124,1.22,117
Hartfrd&Nw Havn,371336,1.18,178,1.12,135
Miami-Ft. Laude,361201,1.15,90,1.11,88
Orl-Dytn B-Mlbn,355350,1.13,96,1.09,89
Harrsbg-La-Lb-Y,340182,1.08,156,0.97,130
San Diego,313850,1,115,1.28,138
Cleveland,312454,1,62,1.17,77
Nashville,292050,0.93,141,0.78,106
Raleigh-Dur(Fy),284380,0.91,75,0.99,83
Indianapolis,281538,0.9,134,0.89,124
Salt Lake City,277262,0.88,136,0.9,98
St. Louis,265467,0.85,118,1.13,125
Columbus OH,250157,0.8,43,0.9,82
Charlotte,241062,0.77,80,0.84,88
Austin,231703,0.74,121,0.95,135
Kansas City,221438,0.71,26,0.88,85
West Plm Bch-FP,220686,0.7,139,0.76,140
Providnc-N. Bed,217614,0.69,165,0.75,150
Cincinnati,214210,0.68,80,0.81,102
Richmond-Ptrsbg,205721,0.66,152,0.66,144
Gr.Rapids-Kl-Bc,196782,0.63,143,0.56,107
Jacksonville,192156,0.61,125,0.46,91
Milwaukee,191291,0.61,82,0.72,93
Ft. Myers-Napls,181087,0.58,147,0.48,116
Albuq-Santa Fe,179605,0.57,168,0.72,188
Nrflk-Prt-Np Nw,174160,0.55,98,0.66,122
Albany-Sch-Troy,163370,0.52,106,0.7,141
Grvl-Spa-Ash-An,152284,0.49,124,0.49,100
Tucson (S Vsta),143427,0.46,182,0.56,183
Las Vegas,140971,0.45,65,0.55,72
Louisville,133417,0.42,73,0.48,96
Burlngtn-Pltbrg,131549,0.42,187,0.39,140
Portland-Auburn,129362,0.41,126,0.48,130
Greensbro-HP-WS,128413,0.41,84,0.45,91
San Antonio,127976,0.41,65,0.46,76
Knoxville,125818,0.4,151,0.31,100
Memphis,123086,0.39,102,0.39,103
Oklahoma City,122020,0.39,91,0.47,106
Buffalo,118242,0.38,26,0.36,61
Omaha,118196,0.38,123,0.48,142
Wilkes Bar-Scr,117888,0.38,75,0.3,60
Spokane,116720,0.37,138,0.42,143
Madison,115427,0.37,157,0.4,125
Springfld-Hlyok,113467,0.36,196,0.26,105
Birmingham,110246,0.35,87,0.39,87
Rochester NY,106618,0.34,83,0.44,112
Colo Sprngs-Pbl,103691,0.33,155,0.38,148
Roanoke-Lnchbrg,101116,0.32,126,0.25,91
Des Moines-Ames,100746,0.32,113,0.35,104
Syracuse,97563,0.31,92,0.32,84
New Orleans,95475,0.3,79,0.27,68
Champgn&Spr-Dec,94743,0.3,125,0.25,92
Peoria-Blmingtn,94448,0.3,152,0.28,144
Honolulu,92673,0.3,75,0.33,84
