DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1546195,6.35,88,7.52,92
Los Angeles,1167791,4.8,76,4.47,89
Boston (Manchr),971877,3.99,196,4.46,165
Chicago,853098,3.51,118,3.43,110
San Fran-Oak-SJ,784919,3.23,69,3.13,67
Wash DC (Hag),783344,3.22,83,4.19,118
Seattle-Tacoma,743708,3.06,172,2.8,141
Philadelphia,706424,2.9,86,3.84,125
Dallas-Ft.Worth,594121,2.44,114,2.1,97
Atlanta,558191,2.29,102,2.07,94
Houston,503434,2.07,111,1.87,99
Denver,480058,1.97,165,2.06,151
Phoenix,410760,1.69,106,1.74,117
Cleveland,408653,1.68,105,1.7,111
Mineapls-St. Pl,406924,1.67,139,2.4,163
Detroit,369000,1.52,118,1.45,100
Tampa-St P(Sar),331390,1.36,93,1.46,100
Columbus OH,295771,1.22,66,1.13,103
Sacrmnto-Stk-Mo,283029,1.16,117,1.07,102
Orl-Dytn B-Mlbn,279506,1.15,97,1.04,85
Charlotte,275191,1.13,116,1.22,128
Portland OR,273986,1.13,44,1,38
Baltimore,272815,1.12,131,1.54,161
San Diego,261231,1.07,123,1.14,123
Indianapolis,255967,1.05,158,0.98,136
Raleigh-Dur(Fy),254660,1.05,87,0.95,80
Miami-Ft. Laude,247849,1.02,80,1.1,88
St. Louis,241981,0.99,139,0.89,98
Pittsburgh,241503,0.99,109,1.05,111
Hartfrd&Nw Havn,238107,0.98,147,0.95,115
Milwaukee,230045,0.95,127,0.97,125
Austin,196737,0.81,132,0.75,107
Nashville,191341,0.79,119,0.71,97
Cincinnati,189434,0.78,90,0.86,109
Kansas City,187888,0.77,28,0.71,68
Providnc-N. Bed,172046,0.71,168,0.77,155
Salt Lake City,165358,0.68,104,0.57,62
Buffalo,163239,0.67,46,0.87,147
Harrsbg-La-Lb-Y,162221,0.67,96,0.76,101
Gr.Rapids-Kl-Bc,146820,0.6,138,0.51,98
Grvl-Spa-Ash-An,138948,0.57,146,0.47,97
Las Vegas,138836,0.57,82,0.56,72
Nrflk-Prt-Np Nw,132145,0.54,96,0.61,112
West Plm Bch-FP,131526,0.54,106,0.56,102
San Antonio,129325,0.53,84,0.4,67
Jacksonville,124857,0.51,105,0.59,115
Greensbro-HP-WS,121334,0.5,103,0.45,90
Richmond-Ptrsbg,120197,0.49,114,0.54,119
Portland-Auburn,119787,0.49,150,0.49,134
Madison,116191,0.48,204,0.48,151
Green Bay-Apltn,115122,0.47,159,0.53,174
Albany-Sch-Troy,113559,0.47,95,0.49,99
Oklahoma City,110759,0.46,107,0.37,84
Louisville,107881,0.44,75,0.36,72
Rochester NY,107369,0.44,107,0.51,129
Birmingham,103870,0.43,106,0.31,70
New Orleans,101832,0.42,109,0.44,110
Dayton,100620,0.41,102,0.41,106
Albuq-Santa Fe,99568,0.41,120,0.38,100
Ft. Myers-Napls,94445,0.39,98,0.39,94
Memphis,94150,0.39,100,0.3,78
Wilkes Bar-Scr,89862,0.37,74,0.35,71
Spokane,86969,0.36,133,0.33,112
Toledo,84741,0.35,92,0.29,85
Omaha,84274,0.35,113,0.32,96
Tucson (S Vsta),83804,0.34,137,0.35,113
Burlngtn-Pltbrg,82270,0.34,150,0.32,116
Honolulu,80687,0.33,84,0.29,73
Des Moines-Ames,80266,0.33,116,0.31,92
Mobile-Pns(Fwb),78335,0.32,88,0.26,75
Tulsa,75240,0.31,90,0.25,74
Litl Rck-Pn Blf,74906,0.31,84,0.23,65
Syracuse,74446,0.31,90,0.28,75
Wichta-Htch Pls,73051,0.3,123,0.25,88
Knoxville,72140,0.3,112,0.23,72
Fresno-Visalia,71746,0.29,97,0.23,76
Colo Sprngs-Pbl,71208,0.29,137,0.29,113
Lexington,71098,0.29,67,0.22,57
Flint-Sagnaw-BC,70020,0.29,120,0.22,77
Roanoke-Lnchbrg,69201,0.28,111,0.25,91
Cdr Rp-Wa-Ic&Db,68919,0.28,139,0.27,109
Columbia SC,65771,0.27,87,0.2,68
Springfld-Hlyok,65427,0.27,145,0.26,104
Champgn&Spr-Dec,63216,0.26,107,0.22,83
Peoria-Blmingtn,62254,0.26,129,0.23,114
