DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,308270,7.6,106,8.16,100
Los Angeles,285413,7.04,110,7.86,157
San Fran-Oak-SJ,182109,4.49,96,5.67,121
Chicago,145298,3.58,120,3.8,122
Wash DC (Hag),143461,3.54,90,3.53,100
Seattle-Tacoma,133149,3.28,185,4.93,247
Boston (Manchr),110397,2.72,133,3.06,113
Philadelphia,107943,2.66,77,2.71,88
Dallas-Ft.Worth,92859,2.29,106,2.27,104
Atlanta,79838,1.97,86,1.88,86
Houston,73523,1.81,96,1.71,91
Mineapls-St. Pl,66820,1.65,137,1.73,116
Phoenix,63248,1.56,97,1.39,92
Portland OR,61278,1.51,58,1.66,63
Detroit,60973,1.5,116,1.4,95
Denver,59941,1.48,123,1.51,110
Orl-Dytn B-Mlbn,54595,1.35,113,1.32,106
San Diego,53188,1.31,150,1.36,145
Sacrmnto-Stk-Mo,51287,1.26,127,1.17,111
Tampa-St P(Sar),48855,1.2,81,0.97,66
Austin,48675,1.2,196,1.55,220
Cleveland,48526,1.2,74,1.03,67
Raleigh-Dur(Fy),45826,1.13,93,1.29,107
Salt Lake City,45218,1.11,170,1.14,123
Miami-Ft. Laude,41894,1.03,80,0.99,77
Baltimore,40062,0.99,116,1.04,108
Columbus OH,39138,0.97,51,0.89,80
St. Louis,39061,0.96,133,0.9,98
Pittsburgh,38478,0.95,104,0.89,94
Hartfrd&Nw Havn,34282,0.85,126,0.86,103
Kansas City,33929,0.84,30,0.79,75
Indianapolis,33475,0.83,123,0.81,111
Milwaukee,30093,0.74,99,0.69,88
Charlotte,30071,0.74,76,0.63,65
Cincinnati,28789,0.71,82,0.71,88
Nashville,28763,0.71,106,0.64,86
Gr.Rapids-Kl-Bc,26830,0.66,150,0.61,116
Las Vegas,26273,0.65,93,0.56,72
San Antonio,24874,0.61,96,0.48,79
Nrflk-Prt-Np Nw,22598,0.56,98,0.47,84
Harrsbg-La-Lb-Y,20870,0.51,74,0.41,54
Providnc-N. Bed,20474,0.5,119,0.49,97
Oklahoma City,19900,0.49,114,0.46,103
Madison,19202,0.47,200,0.58,182
Grvl-Spa-Ash-An,19091,0.47,119,0.4,80
Albany-Sch-Troy,18268,0.45,91,0.44,89
Buffalo,17994,0.44,29,0.41,67
Louisville,17653,0.44,74,0.39,76
Richmond-Ptrsbg,17255,0.43,97,0.45,97
Albuq-Santa Fe,17125,0.42,122,0.34,87
Jacksonville,17101,0.42,85,0.34,65
Rochester NY,16681,0.41,99,0.45,112
Greensbro-HP-WS,15642,0.39,79,0.3,61
West Plm Bch-FP,15363,0.38,73,0.34,61
Syracuse,15078,0.37,109,0.34,90
Fresno-Visalia,14828,0.37,119,0.27,87
Lexington,14204,0.35,80,0.31,80
Des Moines-Ames,14117,0.35,121,0.31,91
New Orleans,14036,0.35,89,0.36,90
Honolulu,14000,0.35,87,0.29,74
Tucson (S Vsta),13916,0.34,134,0.28,92
Birmingham,13901,0.34,84,0.28,60
Wilkes Bar-Scr,13841,0.34,68,0.29,57
Omaha,13676,0.34,109,0.33,97
Spokane,13668,0.34,123,0.29,99
Dayton,13438,0.33,81,0.29,74
Knoxville,13030,0.32,119,0.26,83
Colo Sprngs-Pbl,12886,0.32,147,0.3,116
Litl Rck-Pn Blf,12646,0.31,84,0.26,73
Portland-Auburn,12639,0.31,94,0.28,75
Burlngtn-Pltbrg,12504,0.31,135,0.3,107
Champgn&Spr-Dec,12490,0.31,125,0.29,108
Roanoke-Lnchbrg,12435,0.31,118,0.27,96
Tulsa,12432,0.31,88,0.27,76
Flint-Sagnaw-BC,12365,0.3,125,0.24,84
Waco-Templ-Bryn,12267,0.3,93,0.24,85
Memphis,11916,0.29,75,0.23,60
Toledo,11707,0.29,75,0.23,65
Eugene,11609,0.29,222,0.31,164
Mobile-Pns(Fwb),11544,0.28,77,0.21,59
Green Bay-Apltn,11530,0.28,94,0.22,72
Wichta-Htch Pls,11170,0.28,111,0.2,70
Cdr Rp-Wa-Ic&Db,11033,0.27,131,0.24,94
Boise,10725,0.26,143,0.25,109
Lansing,10577,0.26,138,0.23,108
Springfield MO,10517,0.26,98,0.21,80
Johnstown-Altna,10125,0.25,124,0.22,90
Santabar-Sm-Slo,9950,0.25,175,0.25,142
Springfld-Hlyok,9643,0.24,127,0.24,95
Ft. Myers-Napls,9412,0.23,57,0.19,44
Charlstn-Huntng,9158,0.23,65,0.19,66
Columbia SC,9096,0.22,71,0.18,60
So. Bend-Elkhrt,9028,0.22,103,0.16,68
Reno,8776,0.22,155,0.17,91
Monterey-Salnas,8601,0.21,186,0.23,163
Hntvle-Dctr(FL),8447,0.21,106,0.19,81
Peoria-Blmingtn,8392,0.21,102,0.16,82
Lin&Hst-Krny,8299,0.2,87,0.17,70
Chattanooga,8231,0.2,100,0.2,93
Charleston SC,8078,0.2,85,0.18,81
Ft Smh-Fy-Sp-Rg,8003,0.2,110,0.15,82
Gainesville,7754,0.19,159,0.21,168
Tallhsee-Thmsvl,7744,0.19,100,0.18,93
Pdch-Cg-Har-Mtv,7626,0.19,95,0.13,67
Baton Rouge,7610,0.19,85,0.17,78
Davnprt-Ri-Mlne,7518,0.19,91,0.15,72
Savannah,7468,0.18,82,0.17,77
Fargo-Vally Cty,7437,0.18,132,0.19,107
La Crss-Eau Clr,7132,0.18,116,0.13,74
El Paso,6990,0.17,89,0.12,75
Anchorage,6952,0.17,163,0.15,110
Hrlg-Wsl-Brn-Ma,6700,0.17,84,0.14,84
Yakm-Psc-Rch-Kn,6438,0.16,153,0.13,106
Sioux Fls(Mchl),6359,0.16,89,0.16,79
Ft. Wayne,6080,0.15,87,0.12,67
Chico-Redding,6068,0.15,162,0.11,94
Tri-Cties TN-VA,6035,0.15,103,0.12,76
Greenvl-NB-Wash,5982,0.15,68,0.13,65
Columbia-Jf Cty,5900,0.15,124,0.13,102
Augusta,5742,0.14,88,0.13,77
Topeka,5646,0.14,113,0.1,78
Bakersfield,5425,0.13,109,0.1,83
Shreveport,5339,0.13,61,0.11,56
Evansville,5317,0.13,74,0.11,65
Travrs Cty-Cdlc,5202,0.13,102,0.1,83
Youngstown,5137,0.13,79,0.12,75
Lubbock,5067,0.12,121,0.11,108
Tyler-Longview,4983,0.12,71,0.08,51
Jackson MS,4947,0.12,61,0.11,60
Charlottesville,4739,0.12,113,0.14,122
Wausau-Rhineldr,4727,0.12,125,0.11,98
Medford-Klm Fls,4719,0.12,152,0.1,101
Macon,4575,0.11,55,0.08,50
Corpus Christi,4573,0.11,89,0.08,74
Lafayette LA,4542,0.11,78,0.08,60
Rockford,4487,0.11,87,0.09,77
Columbus GA,4374,0.11,101,0.08,65
Lafayette IN,4347,0.11,211,0.12,189
Wilmington,4335,0.11,74,0.1,69
Flrnce-Mrtl Bch,4314,0.11,51,0.08,43
Erie,4307,0.11,73,0.1,74
Binghamton,4237,0.1,79,0.08,64
Duluth-Superior,4081,0.1,131,0.09,107
Rch-Masn Cy-Aus,3973,0.1,126,0.07,68
Minot-Bsmrk-Dkn,3942,0.1,79,0.08,61
Amarillo,3903,0.1,70,0.07,59
Bangor,3836,0.09,107,0.07,65
Montgomery(Sel),3567,0.09,72,0.09,69
Missoula,3433,0.08,139,0.08,100
Odessa-Midland,3406,0.08,83,0.05,56
Idaho Falls-Poc,3339,0.08,139,0.06,89
Palm Springs,3310,0.08,63,0.1,88
Marquette,3229,0.08,205,0.07,121
Joplin-Pittsbrg,2996,0.07,106,0.06,84
Harrisonburg,2965,0.07,134,0.07,99
Sioux City,2931,0.07,90,0.06,56
Wichta Fls&Lwtn,2905,0.07,82,0.05,60
Panama City,2849,0.07,71,0.05,44
Terre Haute,2830,0.07,109,0.05,79
Beaumnt-Prt Art,2737,0.07,54,0.05,45
Monro-El Dorado,2696,0.07,67,0.06,69
Utica,2645,0.07,79,0.04,55
Biloxi-Gulfport,2643,0.07,68,0.04,49
Watertown,2602,0.06,91,0.04,54
Salisbury,2566,0.06,63,0.06,49
Rapid City,2545,0.06,124,0.06,102
Abilene-Swtwatr,2540,0.06,80,0.03,47
Columbus-Tup-Wp,2413,0.06,77,0.06,84
Butte-Bozeman,2362,0.06,190,0.09,199
Blfld-Beckly-OH,2309,0.06,61,0.04,55
Sherman-Ada,2304,0.06,81,0.05,69
Billings,2259,0.06,105,0.04,62
Clarksburg-Wstn,2091,0.05,53,0.03,44
Hatiesbrg-Laurl,2043,0.05,93,0.04,83
Yuma-El Centro,2040,0.05,75,0.04,80
Elmira,2036,0.05,59,0.03,40
