DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,435145,13.59,188,25.45,312
Los Angeles,265362,8.29,130,9.62,190
San Fran-Oak-SJ,160538,5.01,107,5.02,108
Chicago,134524,4.2,141,3.67,117
Wash DC (Hag),117046,3.66,93,3.41,95
Dallas-Ft.Worth,86586,2.7,126,2.26,103
Philadelphia,80408,2.51,73,2.33,76
Boston (Manchr),76678,2.4,117,2.18,79
Houston,72828,2.27,121,1.83,96
Atlanta,71775,2.24,98,1.87,84
Columbus OH,66875,2.09,112,1.4,126
Detroit,50083,1.56,120,1.25,85
Sacrmnto-Stk-Mo,42248,1.32,131,1.07,101
Phoenix,42234,1.32,82,1.02,68
Seattle-Tacoma,42227,1.32,74,1.16,57
Cleveland,40065,1.25,78,0.98,63
Miami-Ft. Laude,38976,1.22,95,1.22,96
Mineapls-St. Pl,38047,1.19,98,0.98,66
Denver,37092,1.16,97,0.93,67
San Diego,36122,1.13,129,0.95,101
St. Louis,35000,1.09,152,0.86,94
Tampa-St P(Sar),32972,1.03,69,0.81,54
Orl-Dytn B-Mlbn,30210,0.94,79,0.75,60
Hartfrd&Nw Havn,29067,0.91,135,0.78,94
Raleigh-Dur(Fy),28693,0.9,73,0.73,60
Austin,27673,0.86,141,0.79,112
Portland OR,26564,0.83,33,0.71,27
Baltimore,26060,0.81,95,0.7,72
Charlotte,25187,0.79,81,0.63,64
Pittsburgh,24410,0.76,84,0.61,64
Kansas City,24238,0.76,27,0.59,56
Indianapolis,23879,0.75,111,0.58,80
Nashville,22943,0.72,107,0.56,76
Milwaukee,21700,0.68,91,0.53,67
San Antonio,19307,0.6,95,0.48,78
Las Vegas,19036,0.59,85,0.49,62
Salt Lake City,18846,0.59,89,0.46,49
Cincinnati,18282,0.57,66,0.44,54
West Plm Bch-FP,16729,0.52,102,0.46,84
Grvl-Spa-Ash-An,16132,0.5,128,0.4,80
Gr.Rapids-Kl-Bc,15210,0.48,107,0.36,69
Oklahoma City,14531,0.45,105,0.35,78
Jacksonville,13739,0.43,86,0.33,63
New Orleans,13612,0.43,110,0.36,89
Harrsbg-La-Lb-Y,13100,0.41,58,0.31,41
Memphis,12879,0.4,103,0.32,82
Birmingham,12847,0.4,99,0.31,69
Greensbro-HP-WS,12770,0.4,81,0.32,65
Albany-Sch-Troy,12189,0.38,76,0.34,67
Louisville,11849,0.37,62,0.29,56
Providnc-N. Bed,11615,0.36,85,0.32,63
Nrflk-Prt-Np Nw,11364,0.35,62,0.29,52
Litl Rck-Pn Blf,11239,0.35,95,0.28,79
Albuq-Santa Fe,11138,0.35,101,0.26,67
Fresno-Visalia,10975,0.34,111,0.27,85
Buffalo,10873,0.34,22,0.27,44
Richmond-Ptrsbg,10839,0.34,77,0.29,62
Rochester NY,10229,0.32,77,0.26,63
Tulsa,9931,0.31,89,0.23,67
Madison,9548,0.3,125,0.23,72
Mobile-Pns(Fwb),9517,0.3,80,0.23,66
Dayton,9458,0.3,72,0.23,58
Syracuse,9015,0.28,82,0.26,68
Wichta-Htch Pls,8710,0.27,109,0.2,70
Ft. Myers-Napls,8558,0.27,66,0.21,51
Wilkes Bar-Scr,8472,0.26,52,0.21,41
Green Bay-Apltn,8464,0.26,87,0.19,62
Knoxville,8084,0.25,93,0.19,60
Portland-Auburn,7973,0.25,75,0.19,52
Honolulu,7954,0.25,62,0.2,50
Lexington,7919,0.25,56,0.19,48
Omaha,7841,0.24,79,0.18,54
Champgn&Spr-Dec,7747,0.24,98,0.18,66
Tucson (S Vsta),7582,0.24,92,0.19,60
Columbia SC,7553,0.24,75,0.21,69
Flint-Sagnaw-BC,7517,0.23,95,0.17,60
Reno,7285,0.23,163,0.18,99
Toledo,7256,0.23,59,0.18,51
Springfield MO,7093,0.22,84,0.16,62
Waco-Templ-Bryn,6924,0.22,66,0.17,60
