DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1908729,6.38,89,6.63,82
Los Angeles,1711230,5.72,91,5.87,117
San Fran-Oak-SJ,1153483,3.86,83,4.09,88
Seattle-Tacoma,1115831,3.73,210,4.1,206
Chicago,1084074,3.62,122,3.6,115
Boston (Manchr),989936,3.31,163,3.33,123
Wash DC (Hag),928187,3.1,80,3.35,95
Dallas-Ft.Worth,805128,2.69,126,2.67,123
Philadelphia,738592,2.47,73,2.49,81
Houston,723452,2.42,130,2.5,133
Atlanta,680744,2.28,101,2.33,106
Phoenix,519188,1.74,109,1.7,114
Denver,498628,1.67,139,1.58,116
Cleveland,484985,1.62,102,1.63,106
Detroit,457824,1.53,119,1.52,104
Mineapls-St. Pl,454678,1.52,126,1.52,104
Portland OR,394376,1.32,52,1.41,53
Sacrmnto-Stk-Mo,383896,1.28,129,1.32,126
Tampa-St P(Sar),374274,1.25,85,1.18,81
Columbus OH,360635,1.21,65,1.29,117
San Diego,354614,1.19,136,1.18,127
Orl-Dytn B-Mlbn,336321,1.12,95,1.06,86
Raleigh-Dur(Fy),317866,1.06,88,1.05,88
Miami-Ft. Laude,306528,1.02,80,0.95,75
Austin,296583,0.99,163,1.07,152
Charlotte,294489,0.98,101,0.96,100
Indianapolis,291375,0.97,146,0.96,133
St. Louis,289456,0.97,135,0.98,108
Baltimore,285126,0.95,112,0.94,99
Milwaukee,273246,0.91,122,0.91,118
Hartfrd&Nw Havn,264953,0.89,133,0.85,103
Pittsburgh,260682,0.87,96,0.86,91
Kansas City,244854,0.82,30,0.83,80
Nashville,227670,0.76,115,0.72,98
Cincinnati,222732,0.74,88,0.74,93
Salt Lake City,222022,0.74,114,0.69,75
San Antonio,189561,0.63,101,0.62,102
Las Vegas,173288,0.58,83,0.55,71
Gr.Rapids-Kl-Bc,167804,0.56,128,0.53,102
Providnc-N. Bed,166515,0.56,132,0.54,107
Grvl-Spa-Ash-An,158082,0.53,135,0.51,105
West Plm Bch-FP,155479,0.52,102,0.49,89
Harrsbg-La-Lb-Y,155418,0.52,74,0.51,68
Oklahoma City,143874,0.48,113,0.47,105
Madison,143185,0.48,205,0.52,164
Jacksonville,142370,0.48,97,0.47,91
Buffalo,140813,0.47,32,0.43,73
Birmingham,138705,0.46,115,0.48,108
Nrflk-Prt-Np Nw,137170,0.46,81,0.43,78
New Orleans,133791,0.45,116,0.46,114
Greensbro-HP-WS,132613,0.44,92,0.42,85
Louisville,132203,0.44,75,0.44,87
Richmond-Ptrsbg,130391,0.44,100,0.44,96
Green Bay-Apltn,122353,0.41,137,0.38,124
Memphis,121892,0.41,106,0.42,108
Albany-Sch-Troy,120841,0.4,82,0.38,77
Dayton,119785,0.4,99,0.4,105
Spokane,117714,0.39,147,0.39,133
Albuq-Santa Fe,115606,0.39,113,0.37,95
Portland-Auburn,114749,0.38,117,0.37,101
Rochester NY,114441,0.38,93,0.37,93
Honolulu,113012,0.38,96,0.38,96
Omaha,109969,0.37,121,0.36,107
Litl Rck-Pn Blf,103549,0.35,95,0.33,95
Tucson (S Vsta),102659,0.34,136,0.32,105
Ft. Myers-Napls,100811,0.34,85,0.31,75
Des Moines-Ames,100427,0.34,118,0.34,100
Mobile-Pns(Fwb),100003,0.33,91,0.32,93
Toledo,99291,0.33,88,0.32,93
Fresno-Visalia,98507,0.33,109,0.32,102
Tulsa,94488,0.32,92,0.31,88
Wilkes Bar-Scr,90675,0.3,60,0.28,57
Wichta-Htch Pls,88438,0.3,121,0.28,99
Waco-Templ-Bryn,88242,0.3,92,0.31,109
Syracuse,87246,0.29,86,0.29,76
Burlngtn-Pltbrg,86772,0.29,129,0.29,102
Lexington,86714,0.29,67,0.29,74
Roanoke-Lnchbrg,85676,0.29,112,0.27,96
Cdr Rp-Wa-Ic&Db,84985,0.28,139,0.28,113
Knoxville,84268,0.28,106,0.27,86
Champgn&Spr-Dec,82613,0.28,114,0.26,96
Columbia SC,80524,0.27,86,0.26,87
Flint-Sagnaw-BC,80505,0.27,112,0.24,83
Colo Sprngs-Pbl,76059,0.25,119,0.23,90
Boise,70685,0.24,131,0.24,106
Hntvle-Dctr(FL),70581,0.24,122,0.25,108
So. Bend-Elkhrt,69284,0.23,109,0.24,103
Springfld-Hlyok,68860,0.23,124,0.22,87
Johnstown-Altna,67783,0.23,114,0.23,95
Santabar-Sm-Slo,67780,0.23,165,0.22,126
Baton Rouge,67669,0.23,105,0.25,118
Reno,66824,0.22,163,0.2,113
Eugene,66628,0.22,175,0.23,124
Jackson MS,66525,0.22,113,0.22,123
Lansing,66276,0.22,119,0.21,103
Charleston SC,65347,0.22,94,0.21,96
Springfield MO,65315,0.22,83,0.2,77
Tallhsee-Thmsvl,64807,0.22,116,0.24,123
Yakm-Psc-Rch-Kn,64423,0.22,213,0.22,185
Lin&Hst-Krny,63962,0.21,93,0.21,91
La Crss-Eau Clr,63234,0.21,142,0.2,114
Davnprt-Ri-Mlne,61214,0.2,103,0.18,88
Peoria-Blmingtn,59943,0.2,101,0.19,93
Charlstn-Huntng,59257,0.2,58,0.18,65
Savannah,59069,0.2,91,0.18,80
Chattanooga,56993,0.19,96,0.18,88
Ft Smh-Fy-Sp-Rg,55465,0.19,105,0.18,99
Sioux Fls(Mchl),54472,0.18,106,0.19,96
Monterey-Salnas,54385,0.18,162,0.18,126
El Paso,51671,0.17,91,0.16,97
Fargo-Vally Cty,51107,0.17,125,0.16,91
Youngstown,50337,0.17,109,0.16,103
Pdch-Cg-Har-Mtv,49844,0.17,86,0.16,80
Hrlg-Wsl-Brn-Ma,49751,0.17,87,0.16,93
Flrnce-Mrtl Bch,48923,0.16,80,0.14,76
Tyler-Longview,47437,0.16,95,0.15,102
Shreveport,46836,0.16,74,0.15,80
Augusta,46280,0.15,99,0.15,91
Ft. Wayne,45533,0.15,91,0.14,80
Evansville,45139,0.15,88,0.14,84
Wausau-Rhineldr,44485,0.15,164,0.14,123
Topeka,43397,0.15,120,0.14,104
Greenvl-NB-Wash,42089,0.14,66,0.12,62
Tri-Cties TN-VA,41914,0.14,99,0.13,84
Lafayette LA,41853,0.14,101,0.14,107
Gainesville,41813,0.14,118,0.15,125
Travrs Cty-Cdlc,40304,0.13,110,0.11,90
Anchorage,38549,0.13,124,0.13,96
Wilmington,38167,0.13,91,0.12,82
Columbia-Jf Cty,38117,0.13,110,0.13,106
Chico-Redding,37791,0.13,139,0.12,104
Macon,37431,0.13,63,0.12,75
Columbus GA,36910,0.12,118,0.13,105
Charlottesville,36560,0.12,120,0.12,110
Rockford,36256,0.12,98,0.1,84
Lubbock,35300,0.12,116,0.12,119
Bakersfield,35223,0.12,99,0.11,92
Corpus Christi,34707,0.12,95,0.11,99
Montgomery(Sel),34694,0.12,98,0.12,95
Rch-Masn Cy-Aus,33809,0.11,149,0.1,103
Minot-Bsmrk-Dkn,32681,0.11,91,0.11,84
Amarillo,31810,0.11,79,0.1,84
