DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1216801,9.48,132,10.13,125
Los Angeles,648946,5.06,80,5.18,103
Boston (Manchr),616106,4.8,236,5.33,197
San Fran-Oak-SJ,602929,4.7,101,5.08,109
Chicago,585301,4.56,153,4.85,155
Wash DC (Hag),563264,4.39,113,5.12,145
Seattle-Tacoma,505479,3.94,222,3.66,184
Philadelphia,384323,3,88,3.12,102
Denver,289024,2.25,189,2.4,176
Mineapls-St. Pl,280901,2.19,182,2.25,153
Atlanta,231913,1.81,79,1.86,85
Portland OR,221231,1.72,68,1.89,71
Dallas-Ft.Worth,212768,1.66,77,1.57,72
Detroit,181950,1.42,109,1.38,95
Phoenix,168759,1.32,82,1.17,79
Houston,163400,1.27,67,1.24,66
Raleigh-Dur(Fy),146088,1.14,94,1.23,103
Austin,144762,1.13,185,1.19,168
Baltimore,140325,1.09,128,1.18,123
Salt Lake City,138825,1.08,166,0.96,104
Cleveland,134124,1.05,65,1.02,67
San Diego,132890,1.04,119,1.04,112
Hartfrd&Nw Havn,130184,1.01,152,0.99,119
Pittsburgh,125065,0.97,107,1.03,109
St. Louis,120203,0.94,131,0.99,109
Columbus OH,117497,0.92,50,0.93,84
Tampa-St P(Sar),116654,0.91,61,0.76,52
Sacrmnto-Stk-Mo,114389,0.89,89,0.9,85
Milwaukee,113399,0.88,118,0.85,110
Indianapolis,106886,0.83,125,0.81,112
Orl-Dytn B-Mlbn,104549,0.81,68,0.66,54
Kansas City,102727,0.8,29,0.74,71
Madison,96984,0.76,323,0.88,276
Miami-Ft. Laude,87381,0.68,52,0.57,45
Cincinnati,84102,0.66,76,0.61,76
Nashville,82194,0.64,97,0.54,73
Providnc-N. Bed,77866,0.61,143,0.53,105
Charlotte,77147,0.6,61,0.58,60
Gr.Rapids-Kl-Bc,76551,0.6,135,0.56,106
Albany-Sch-Troy,73063,0.57,116,0.51,102
Burlngtn-Pltbrg,67290,0.52,232,0.56,199
Richmond-Ptrsbg,66067,0.51,119,0.46,100
Harrsbg-La-Lb-Y,64124,0.5,72,0.42,56
Portland-Auburn,63740,0.5,151,0.48,130
Grvl-Spa-Ash-An,58039,0.45,116,0.41,84
Omaha,55867,0.44,142,0.35,103
Buffalo,54651,0.43,29,0.4,67
Albuq-Santa Fe,54497,0.42,123,0.45,117
Syracuse,53400,0.42,122,0.4,104
Nrflk-Prt-Np Nw,53332,0.42,73,0.38,70
Rochester NY,52739,0.41,100,0.4,100
Des Moines-Ames,51574,0.4,141,0.45,134
New Orleans,47576,0.37,96,0.36,89
Oklahoma City,47212,0.37,86,0.37,82
Cdr Rp-Wa-Ic&Db,47192,0.37,178,0.41,162
Las Vegas,46613,0.36,52,0.38,49
Spokane,46613,0.36,134,0.37,123
Springfld-Hlyok,46538,0.36,195,0.35,142
San Antonio,46099,0.36,57,0.33,56
Louisville,45520,0.35,60,0.36,72
Champgn&Spr-Dec,43622,0.34,139,0.36,136
Tucson (S Vsta),42878,0.33,132,0.32,102
Greensbro-HP-WS,42306,0.33,68,0.31,63
Roanoke-Lnchbrg,41724,0.33,126,0.3,107
Green Bay-Apltn,41666,0.32,108,0.26,85
Eugene,40463,0.32,247,0.3,163
Birmingham,40035,0.31,77,0.31,68
West Plm Bch-FP,38308,0.3,58,0.25,45
Jacksonville,37259,0.29,59,0.24,47
Dayton,35659,0.28,68,0.23,59
Colo Sprngs-Pbl,35420,0.28,128,0.24,92
Lexington,35365,0.28,64,0.25,64
Wilkes Bar-Scr,34957,0.27,54,0.2,41
Santabar-Sm-Slo,34704,0.27,196,0.32,187
Lansing,33299,0.26,139,0.33,158
Knoxville,33268,0.26,96,0.21,66
Johnstown-Altna,32682,0.25,128,0.24,100
Boise,32446,0.25,139,0.21,95
Lin&Hst-Krny,31582,0.25,106,0.18,78
Memphis,31565,0.25,63,0.26,68
Honolulu,31356,0.24,62,0.21,52
La Crss-Eau Clr,29989,0.23,156,0.18,104
Tulsa,28674,0.22,65,0.21,60
So. Bend-Elkhrt,28225,0.22,103,0.27,115
Toledo,28033,0.22,57,0.22,64
Litl Rck-Pn Blf,27718,0.22,59,0.2,57
Flint-Sagnaw-BC,27635,0.22,88,0.16,56
Wichta-Htch Pls,27279,0.21,86,0.2,70
Monterey-Salnas,27063,0.21,186,0.19,139
Waco-Templ-Bryn,26262,0.2,64,0.18,64
Charlottesville,25604,0.2,196,0.22,198
Ft. Myers-Napls,25381,0.2,50,0.19,47
Mobile-Pns(Fwb),25371,0.2,54,0.19,54
Fargo-Vally Cty,24747,0.19,140,0.18,99
Charleston SC,24644,0.19,82,0.15,67
Columbia SC,24603,0.19,61,0.19,64
Davnprt-Ri-Mlne,24374,0.19,94,0.17,80
Fresno-Visalia,23997,0.19,61,0.16,51
Springfield MO,23315,0.18,69,0.15,57
Gainesville,23034,0.18,151,0.16,130
Peoria-Blmingtn,22818,0.18,88,0.15,77
Sioux Fls(Mchl),22774,0.18,102,0.15,77
Tallhsee-Thmsvl,21612,0.17,89,0.14,73
Reno,21441,0.17,120,0.16,86
Yakm-Psc-Rch-Kn,21390,0.17,163,0.14,113
Anchorage,19916,0.16,149,0.19,144
Baton Rouge,19642,0.15,70,0.12,57
Chattanooga,19632,0.15,76,0.12,58
Hntvle-Dctr(FL),19553,0.15,78,0.13,54
Columbia-Jf Cty,19248,0.15,129,0.17,135
Ft Smh-Fy-Sp-Rg,19135,0.15,83,0.13,74
Rch-Masn Cy-Aus,17549,0.14,178,0.12,119
Savannah,17145,0.13,61,0.16,70
Charlstn-Huntng,16977,0.13,38,0.1,37
Wausau-Rhineldr,16387,0.13,139,0.1,94
Pdch-Cg-Har-Mtv,16298,0.13,64,0.08,41
Bangor,16247,0.13,146,0.09,90
Travrs Cty-Cdlc,16154,0.13,102,0.1,77
Duluth-Superior,16134,0.13,166,0.11,134
Missoula,16052,0.13,209,0.11,141
Ft. Wayne,15140,0.12,69,0.11,63
Topeka,15085,0.12,97,0.09,69
Jackson MS,13722,0.11,54,0.09,48
Medford-Klm Fls,13681,0.11,141,0.09,93
Chico-Redding,13605,0.11,115,0.08,75
Rockford,13444,0.1,84,0.1,82
Augusta,12913,0.1,63,0.09,54
Binghamton,12862,0.1,76,0.09,73
Lafayette IN,12862,0.1,199,0.08,130
Youngstown,12598,0.1,62,0.07,43
Evansville,12379,0.1,55,0.08,49
Wilmington,12310,0.1,67,0.09,63
Tri-Cties TN-VA,11981,0.09,64,0.08,48
Greenvl-NB-Wash,11848,0.09,43,0.07,37
Erie,11676,0.09,63,0.1,75
El Paso,11193,0.09,46,0.07,43
Harrisonburg,10611,0.08,154,0.08,115
Lubbock,10597,0.08,81,0.07,73
Columbus GA,10542,0.08,78,0.06,52
Shreveport,10522,0.08,38,0.07,38
Butte-Bozeman,10474,0.08,273,0.1,242
Idaho Falls-Poc,10210,0.08,136,0.06,90
Minot-Bsmrk-Dkn,10207,0.08,65,0.06,44
Marquette,9874,0.08,202,0.06,106
Billings,9521,0.07,143,0.08,127
Lafayette LA,9480,0.07,52,0.06,47
Tyler-Longview,9477,0.07,44,0.05,34
Macon,9162,0.07,35,0.07,42
Sioux City,8956,0.07,88,0.05,48
Palm Springs,8953,0.07,55,0.06,55
Flrnce-Mrtl Bch,8911,0.07,34,0.06,32
Utica,8308,0.06,80,0.06,77
Bakersfield,8199,0.06,52,0.04,35
Rapid City,8120,0.06,128,0.06,105
Amarillo,7935,0.06,45,0.04,32
Montgomery(Sel),7640,0.06,49,0.05,40
Hrlg-Wsl-Brn-Ma,7503,0.06,30,0.04,27
Salisbury,7215,0.06,57,0.05,40
Watertown,7041,0.05,79,0.05,65
Bend OR,6849,0.05,271,0.04,139
Terre Haute,6109,0.05,76,0.04,68
Corpus Christi,6078,0.05,37,0.04,39
Joplin-Pittsbrg,5687,0.04,64,0.03,45
Panama City,5684,0.04,45,0.03,33
Mankato,5540,0.04,168,0.03,96
Eureka,5492,0.04,173,0.04,129
Elmira,5221,0.04,49,0.03,44
Odessa-Midland,5139,0.04,39,0.03,28
Columbus-Tup-Wp,5064,0.04,52,0.04,48
Biloxi-Gulfport,4920,0.04,41,0.03,32
Monro-El Dorado,4851,0.04,38,0.03,30
Abilene-Swtwatr,4810,0.04,48,0.03,43
Wheeling-Steub.,4762,0.04,51,0.04,51
Gr.Jnctn-Mntros,4660,0.04,123,0.03,98
Twin Falls,4629,0.04,125,0.03,93
Fairbanks,4629,0.04,176,0.04,158
Wichta Fls&Lwtn,4574,0.04,41,0.03,35
Beaumnt-Prt Art,4334,0.03,27,0.04,38
Quincy-Hbl-Keok,4303,0.03,74,0.02,42
Clarksburg-Wstn,4293,0.03,34,0.02,31
Bowling Green,4290,0.03,59,0.03,58
Chey-Sctts,4228,0.03,123,0.02,63
Ottumwa-Kirksvl,4228,0.03,94,0.02,70
Hatiesbrg-Laurl,4101,0.03,60,0.03,51
Sherman-Ada,3981,0.03,45,0.02,30
Casper-Riverton,3868,0.03,126,0.04,119
Blfld-Beckly-OH,3813,0.03,32,0.02,29
Great Falls,3656,0.03,121,0.02,60
Helena,3649,0.03,252,0.03,169
Albany GA,3440,0.03,18,0.03,26
Lima,3406,0.03,45,0.02,36
Juneau,3306,0.03,188,0.02,135
Dothan,3258,0.03,33,0.02,22
Jonesboro,3221,0.03,38,0.02,38
Jackson TN,3190,0.02,53,0.02,33
Alexandria LA,2772,0.02,30,0.02,31
Parkersburg,2546,0.02,39,0.01,31
Yuma-El Centro,2542,0.02,29,0.01,22
Lake Charles,2388,0.02,36,-,18
St. Joseph,2155,0.02,59,0.01,55
San Angelo,1902,0.01,51,0.02,64
Presque Isle,1525,0.01,56,-,42
Zanesville,1477,0.01,37,-,20
Meridian,1244,0.01,31,0.01,48
Laredo,1103,-,19,-,14
Victoria,1079,-,45,-,55
Greenwd-Greenvl,884,-,24,-,24
North Platte,833,-,95,-,52
Alpena,668,-,101,-,39
Glendive,154,-,82,-,72
