DMA,UNIQUES (COOKIES),UNIQUES %,UNIQUES INDEX,IMPRESSIONS %,IMPRESSIONS INDEX
New York,1203150,8.86,123,10.41,128
Los Angeles,991249,7.3,116,7.59,151
San Fran-Oak-SJ,839524,6.18,133,7.42,159
Chicago,518605,3.82,129,3.99,128
Wash DC (Hag),501018,3.69,95,3.9,110
Seattle-Tacoma,436757,3.22,181,4.64,233
Boston (Manchr),385012,2.84,139,3.09,114
Philadelphia,361914,2.67,79,2.65,86
Dallas-Ft.Worth,337586,2.49,115,2.42,111
Atlanta,305778,2.25,100,2.23,101
Houston,278122,2.05,109,1.95,104
Denver,221652,1.63,136,1.55,114
Detroit,218499,1.61,124,1.58,108
Phoenix,216852,1.6,99,1.47,99
Mineapls-St. Pl,212706,1.57,130,1.59,108
Portland OR,192247,1.42,56,1.47,55
San Diego,186835,1.38,158,1.42,152
Sacrmnto-Stk-Mo,170547,1.26,126,1.13,108
Orl-Dytn B-Mlbn,167113,1.23,103,1.14,93
Miami-Ft. Laude,161479,1.19,92,1.14,90
Austin,159208,1.17,192,1.3,184
Tampa-St P(Sar),158784,1.17,79,1,69
Cleveland,153982,1.13,71,0.99,64
Raleigh-Dur(Fy),151628,1.12,92,1.11,93
Salt Lake City,134378,0.99,152,1.04,113
St. Louis,129829,0.96,133,0.87,96
Baltimore,128108,0.94,110,0.92,96
Pittsburgh,116762,0.86,94,0.83,88
Hartfrd&Nw Havn,116532,0.86,129,0.83,100
Columbus OH,116319,0.86,46,0.86,78
Charlotte,109642,0.81,83,0.73,77
Kansas City,105117,0.77,28,0.74,71
Indianapolis,104195,0.77,115,0.72,99
Nashville,98172,0.72,109,0.63,86
Milwaukee,91832,0.68,90,0.61,79
Cincinnati,87511,0.64,75,0.61,77
Gr.Rapids-Kl-Bc,80936,0.6,136,0.61,115
Las Vegas,75077,0.55,79,0.47,61
San Antonio,72678,0.54,85,0.46,76
West Plm Bch-FP,62683,0.46,91,0.38,71
Harrsbg-La-Lb-Y,62249,0.46,66,0.39,52
Grvl-Spa-Ash-An,60908,0.45,115,0.36,74
Oklahoma City,58393,0.43,101,0.4,89
Nrflk-Prt-Np Nw,56935,0.42,74,0.34,63
Albany-Sch-Troy,55610,0.41,83,0.35,70
Providnc-N. Bed,55051,0.41,96,0.4,79
Jacksonville,54906,0.4,82,0.34,66
Madison,54615,0.4,171,0.43,136
Richmond-Ptrsbg,54247,0.4,92,0.36,79
Albuq-Santa Fe,52282,0.39,113,0.3,78
Buffalo,52223,0.38,26,0.33,56
Rochester NY,51955,0.38,93,0.38,94
Louisville,51256,0.38,64,0.31,62
Greensbro-HP-WS,48054,0.35,73,0.28,56
Tucson (S Vsta),46864,0.35,136,0.3,97
Birmingham,46461,0.34,85,0.29,63
Honolulu,45546,0.34,85,0.3,76
New Orleans,44755,0.33,86,0.26,65
Omaha,42150,0.31,102,0.3,88
Syracuse,41744,0.31,91,0.3,78
Memphis,41204,0.3,78,0.26,67
Fresno-Visalia,40716,0.3,99,0.25,80
Des Moines-Ames,40659,0.3,105,0.31,93
Dayton,40597,0.3,73,0.25,63
Champgn&Spr-Dec,39275,0.29,118,0.29,107
Santabar-Sm-Slo,38559,0.28,206,0.27,157
Litl Rck-Pn Blf,38068,0.28,77,0.24,68
Tulsa,37921,0.28,81,0.25,72
Portland-Auburn,37194,0.27,83,0.23,60
Knoxville,36565,0.27,101,0.23,73
Burlngtn-Pltbrg,36461,0.27,118,0.22,78
Wichta-Htch Pls,36459,0.27,110,0.22,75
Lexington,36345,0.27,62,0.23,58
Wilkes Bar-Scr,35542,0.26,52,0.21,43
Spokane,35352,0.26,97,0.22,72
Mobile-Pns(Fwb),34909,0.26,70,0.2,57
Roanoke-Lnchbrg,34868,0.26,100,0.25,88
Boise,34712,0.26,141,0.2,88
Ft. Myers-Napls,34138,0.25,63,0.19,47
Cdr Rp-Wa-Ic&Db,33501,0.25,120,0.24,94
Colo Sprngs-Pbl,32965,0.24,113,0.21,81
Waco-Templ-Bryn,32953,0.24,76,0.2,71
Green Bay-Apltn,32306,0.24,79,0.19,62
Toledo,31951,0.24,62,0.2,57
Flint-Sagnaw-BC,31377,0.23,96,0.19,67
Monterey-Salnas,31216,0.23,204,0.21,148
Lansing,29675,0.22,117,0.21,100
Eugene,29609,0.22,170,0.2,108
Springfield MO,28820,0.21,81,0.17,65
Columbia SC,28718,0.21,68,0.17,55
Johnstown-Altna,28177,0.21,104,0.21,86
Reno,28120,0.21,151,0.16,89
Hntvle-Dctr(FL),28052,0.21,106,0.19,84
Springfld-Hlyok,27035,0.2,107,0.18,72
So. Bend-Elkhrt,26973,0.2,93,0.17,73
Peoria-Blmingtn,24641,0.18,91,0.17,85
Charleston SC,24366,0.18,77,0.16,71
Chattanooga,23667,0.17,88,0.15,72
Tallhsee-Thmsvl,23558,0.17,91,0.16,82
Baton Rouge,23155,0.17,79,0.16,73
Lin&Hst-Krny,22681,0.17,73,0.15,65
Ft Smh-Fy-Sp-Rg,22586,0.17,93,0.13,75
Gainesville,21837,0.16,136,0.17,136
Savannah,21560,0.16,73,0.12,56
Charlstn-Huntng,21519,0.16,46,0.12,41
Davnprt-Ri-Mlne,20635,0.15,76,0.12,57
El Paso,20365,0.15,79,0.12,76
Fargo-Vally Cty,20216,0.15,109,0.13,75
Pdch-Cg-Har-Mtv,20159,0.15,76,0.12,62
Hrlg-Wsl-Brn-Ma,20149,0.15,77,0.13,74
Jackson MS,20059,0.15,75,0.12,68
Sioux Fls(Mchl),18663,0.14,79,0.12,62
Anchorage,18535,0.14,132,0.12,89
La Crss-Eau Clr,18144,0.13,89,0.1,59
Augusta,17068,0.13,79,0.1,60
Yakm-Psc-Rch-Kn,16966,0.12,123,0.13,104
Ft. Wayne,16658,0.12,73,0.1,58
Chico-Redding,16333,0.12,131,0.1,86
Columbia-Jf Cty,15869,0.12,101,0.11,87
Topeka,15579,0.11,95,0.09,69
Travrs Cty-Cdlc,15544,0.11,92,0.08,67
Greenvl-NB-Wash,15437,0.11,53,0.09,46
Charlottesville,15406,0.11,112,0.12,106
Evansville,15300,0.11,66,0.09,58
Tri-Cties TN-VA,15297,0.11,78,0.08,51
Shreveport,15212,0.11,53,0.08,44
Bakersfield,14721,0.11,90,0.08,71
